utterance,frame,coefficient1,coefficient2,coefficient3,coefficient4,coefficient5,coefficient6,coefficient7,coefficient8,coefficient9,coefficient10,coefficient11,coefficient12,speaker
2,25,1.307289,-0.600573,0.620979,0.385506,0.210833,-0.251575,-0.228647,-0.305328,-0.014519,-0.167528,-0.175811,0.088565,1
2,8,1.387501,-0.662854,0.476828,0.063931,0.162819,0.187999,-0.219977,-0.057997,-0.238385,-0.424237,-0.004846,0.192549,1
3,11,1.990155,-0.935262,0.470629,-0.153762,-0.091035,0.035063,-0.258664,0.058584,-0.014116,-0.473753,-0.146977,0.197983,1
5,22,1.58033,-0.758505,0.449784,0.176902,0.370277,0.063632,-0.331968,-0.092505,-0.260174,-0.301183,0.109651,0.084185,1
27,1,1.216277,0.012681,0.40898,-0.426374,0.215753,-0.353217,-0.101977,0.383549,-0.007235,-0.183563,-0.208273,0.020444,1
5,9,1.55236,-0.425376,0.199152,-0.039058,0.07622,-0.416775,-0.228764,0.065394,-0.183333,-0.120764,-0.088878,0.042436,1
11,20,1.216185,-0.547918,0.872284,0.14422,0.346811,0.161598,-0.322975,-0.16401,-0.23629,-0.232485,0.120199,-0.107251,1
3,6,1.486123,-0.091183,0.336031,-0.131567,-0.333492,-0.258345,-0.201333,0.043862,0.073675,-0.24716,-0.002587,0.190969,1
5,20,1.254506,-0.869107,0.554876,0.280537,0.260423,-0.0192,-0.447082,-0.113791,-0.110484,-0.289957,0.039887,0.026577,1
7,11,1.399804,-0.762135,0.670546,-0.046879,0.405863,0.043897,-0.364629,-0.148214,-0.250067,-0.217774,0.020494,0.162642,1
5,17,1.407183,-0.605374,0.423808,0.197096,0.090429,-0.052413,-0.107892,-0.167047,-0.331144,-0.315017,0.044318,0.192592,1
14,5,1.282603,-0.322722,0.398362,-0.309866,0.034961,-0.239511,-0.01917,0.328989,-0.246587,-0.321986,0.054446,0.141912,1
1,4,1.672665,-0.343458,0.263109,-0.167267,0.043357,-0.564522,-0.286775,0.230736,-0.122032,-0.099552,0.001257,0.113616,1
17,10,1.231321,-0.964072,0.715917,0.085806,0.277358,0.213157,-0.46491,-0.251291,-0.033184,-0.205472,-0.040164,0.022501,1
26,10,1.252486,-0.455359,0.665079,-0.161266,0.285273,0.006084,-0.274824,-0.117969,-0.374488,-0.179042,0.205048,0.026329,1
18,15,1.343653,-0.79558,0.499099,0.114245,0.337493,0.220848,-0.442922,-0.275754,-0.053718,-0.230026,-0.09443,0.092694,1
2,6,1.400231,-0.68394,0.489114,-0.321042,0.127285,0.097517,-0.130539,0.091988,-0.198951,-0.387992,-0.120141,0.106324,1
29,2,1.08985,-0.092389,0.430597,-0.278089,0.223769,-0.207304,0.019118,0.162994,-0.204544,-0.331463,-0.044924,0.234461,1
24,18,1.872214,-0.995666,0.85273,0.141706,0.194975,0.062342,-0.395435,-0.220422,-0.186839,-0.207742,0.032937,0.071721,1
9,16,0.971841,-0.597312,0.743277,0.261866,0.452168,0.044718,-0.28689,-0.017722,-0.332654,-0.199664,0.143094,-0.140823,1
26,3,1.487493,-0.2459,0.61902,-0.458685,0.024362,-0.126851,-0.353774,0.179671,0.026191,-0.261372,0.008659,0.142957,1
