spid,commeqta,llploans,costtoincome,roe,liqassta,size,rating
222808,0.04179,0.052628,0.463943,-0.49529,0.102417,17.349871,above_average
132485,0.020031,0.034454,0.754655,-0.198752,0.422636,16.946037,above_average
237118,0.096736,0.062246,0.300409,-0.481643,0.777464,15.588062,above_average
105986,0.010092,0.080791,1.364978,-0.26104,0.157598,15.963289,above_average
104473,0.040931,0.087014,0.875882,-0.473052,0.096407,20.874623,above_average
374711,0.101152,0.050554,0.606405,-0.077725,0.406958,21.421689,above_average
313790,0.084849,0.037926,0.471118,-0.027679,0.747062,20.248447,above_average
357260,0.011593,0.052724,1.008631,0.27277,0.122096,18.631759,above_average
180855,0.129799,0.086354,1.583692,-0.217584,0.437436,21.255672,above_average
308102,0.064422,0.005454,1.188593,-0.292081,0.191434,20.418269,above_average
158674,0.071796,0.068656,1.272183,-0.242334,0.148803,15.670899,above_average
308745,0.049814,0.041862,0.257782,0.26561,0.230638,15.962338,above_average
184391,0.070469,0.025704,1.184919,-0.070092,0.327826,16.496319,above_average
353679,0.018855,0.025547,1.527674,0.399556,0.345525,20.335759,above_average
161884,0.055177,0.02561,1.251962,0.133133,0.28789,21.133764,above_average
106456,0.055091,0.026054,0.410437,-0.124106,0.779371,19.560594,above_average
298869,0.070966,0.048322,1.41215,0.297838,0.033822,17.310061,above_average
175903,0.101403,0.011142,1.26001,0.386509,0.030876,20.564782,above_average
163874,0.098136,0.007252,0.756485,0.457313,0.270757,18.468153,above_average
109068,0.092851,0.034583,0.651064,0.210806,0.680875,15.768811,above_average
233084,0.148191,0.064013,1.342639,0.200735,0.811492,20.157516,above_average
290039,0.164234,0.014002,1.546335,0.132884,0.526024,18.809099,above_average
194734,0.13651,0.002069,1.429973,-0.098737,0.550151,16.940553,above_average
148971,0.016312,0.07525,0.678798,0.062907,0.310829,19.873691,above_average
395327,0.070382,0.040656,1.245034,-0.092925,0.426659,19.971094,above_average
341725,0.009103,0.08184,1.00224,0.186759,0.522545,18.846833,above_average
343421,0.152467,0.006809,0.421615,-0.345767,0.342774,18.529496,above_average
