aer_ratings_tag,country_regional_group,country_classification__om__5_jan_2018_,department,project_name,modality,mode_of_financial_assistance,modality__financing_,source_of_funds,approved_amount__usd_mil_,disbursed_amount__usd_mil_,signed__committed_amount__usd_mil_,approval_date,approval_year,loan_grant_signing,loan_grant_effectivity__original_,loan_grant_effectivity__actual_,closing_date__estimate__ctl,closing_date__actual___ctl_,cofin__app_usd_mil_,cofin__act_usd_mil_,proj_cost__app_usd_mil_,proj_cost__act_usd_mil_,primary_sector__pcs_2014_,rrp_circulation_date__bod_,pcr_circulation_date__bod_,pcr_overall_rating,pcr_relevance,pcr_effectiveness,pcr_efficiency,pcr_sustainability,pcr_borrower_performance,pcr_ea_performance,pcr_adb_performance,pvr_circulation_date,pvr_overall_rating,pvr_relevance,pvr_effectiveness,pvr_efficiency,pvr_sustainability,pvr_borrower_performance,pvr_ea_performance,pvr_adb__performance,pcr_quality,pper_circulation_date__bod_,pper_overall_rating,pper_relevance,pper_effectiveness,pper_efficiency,pper_sustainability,pper_borrower_performance,pper_ea_performance,pper_adb_performance,source_of_latest_rating,aer_reporting_year,ied_overall_rating,ied_relevance,ied_effectiveness,ied_efficiency,ied_sustainability,ied_borrower_performance,ied_ea_performance,ied_adb_performance
1,Central and West Asia,Concessional assistance-only,CWRD,Osh-Plotina Water Treatment Plant Chlorine Neutralization Unit,Project,Activity Subgrant,Small Expenditure Financing Facility,ADF,0.5,0.3158,0.5,2020,2020.0,2020.0,,2020.0,2021.0,2021.0,0.0,0.0,0.625,0.351,WUS,,2022.0,successful,relevant,effective,highly efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,East Asia,OCR Blend,EARD,Improving School Dormitory Environment for Primary Students in Western Region Project,Project,Project grant,Project grant,Japan Fund for Prosperous and Resilient Asia and the Pacific,3.0,2.9746461,3.0,2015,2015.0,2016.0,,2016.0,2018.0,2020.0,3.0,2.97,3.38,3.33,EDU,,2022.0,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,less than successful,relevant,effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,South Asia,Concessional assistance-only,SARD,Secondary Towns Integrated Urban Environmental Improvement Project,Project,Project loan,Project loan,COL/OPEC Fund for International Development,77.0,65.7558,81.52387112,2010,2010.0,2010.0,,2011.0,2016.0,2021.0,17.0,16.96,106.33,97.57,WUS,,2022.0,less than successful,relevant,less than effective,less than efficient,likely sustainable,less than satisfactory,less than satisfactory,less than satisfactory,,less than successful,relevant,less than effective,less than efficient,less than likely sustainable,less than statisfactory,less than statisfactory,less than statisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,South Asia,Concessional assistance-only,SARD,Secondary Towns Integrated Urban Environmental Improvement Project,Project,Project loan,,COL,60.0,48.7958,64.52387112,2010,2010.0,2010.0,,2011.0,2016.0,2021.0,,,,,WUS,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,South Asia,Concessional assistance-only,SARD,Secondary Towns Integrated Urban Environmental Improvement Project,Project,Project loan,,OPEC Fund for International Development,17.0,16.96,17.0,2010,2010.0,2010.0,,2011.0,2016.0,2021.0,17.0,16.96,,,WUS,,,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
"1,9",Central and West Asia,Regular OCR-only,CWRD,Sustainable Urban Transport Investment Program (Tranche 3),Project,MFF-Tranche (Loan),MFF - tranche,OCR,73.0,34.2,73.0,2013,2013.0,2013.0,,2014.0,2018.0,2021.0,0.0,0.0,118.21,52.98,TRA,,2022.0,less than successful,relevant,less than effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,less than successful,less than relevant,less than effective,less than efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
1,Central and West Asia,Concessional assistance-only,CWRD,Building Climate Resilience in the Pyanj River Basin Project,Project,Project grant,Project grant,Strategic Climate Fund,21.55,21.4179,21.55,2013,2013.0,2013.0,,2013.0,2020.0,2020.0,21.55,21.4179,22.703,21.761,ANR,,2022.0,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,efficient,less than likely sustainable,satisfactory,satisfactory,satisfactory,satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
"1,9",Central and West Asia,Regular OCR-only,CWRD,Sustainable Urban Transport Investment Program (Tranche 1),Project,MFF-Tranche (Loan),MFF - tranche,OCR,85.0,78.741,88.29702178,2010,2010.0,2010.0,,2010.0,2016.0,2021.0,0.0,0.0,99.98,102.03,TRA,,2022.0,successful,relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,less than successful,less than relevant,less than effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
9,Central and West Asia,Regular OCR-only,CWRD,Second Road Network Development Investment Program (Multitranche Financing Facility; and Tranches 1 and 2),Project,MFF - Facility,MFF - Facility,OCR,500.0,471.4,500.0,2012,2012.0,2013.0,,2013.0,2020.0,2021.0,0.0,0.0,644.0,557.0,TRA,,2022.0,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,successful,relevant,effective,less than efficient,likely sustainable,satisfactory,satisfactory,satisfactory,less than satisfactory,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
0,Central and West Asia,Regular OCR-only,CWRD,Second Road Network Development Investment Program (Tranche 1),Project,MFF-Tranche (Loan),,OCR,250.0,247.8,250.0,2012,2012.0,2013.0,,2013.0,2016.0,2021.0,,,312.0,294.0,TRA,,,successful,relevant,effective,efficient,likely sustainable,satisfactory,satisfactory,satisfactory,,-,-,-,-,-,-,-,-,-,,na,na,na,na,na,na,na,na,PVR,2023.0,,,,,,,,
