Year,Location,Area,Rainfall,Temperature,Soil type,Irrigation,yeilds,Humidity,Crops,price,Season
2004.0,Mangalore,1279.0,2903.1,27.0,Alluvial,Drip,2570.0,57.0,Coconut,200000.0,Kharif
2004.0,Mangalore,13283.0,2903.1,27.0,Alluvial,Drip,27170.0,57.5,Coconut,4847.0,Kharif
2004.0,Mangalore,52119.0,2903.1,27.0,Alluvial,Drip,114744.0,57.0,Coconut,51239.0,Kharif
2004.0,Mangalore,725.0,2996.6,27.0,Alluvial,Drip,1402.0,55.0,Coconut,216396.0,Kharif
2004.0,Mangalore,12885.0,2996.6,27.0,Alluvial,Drip,23456.0,56.0,Coconut,2644.0,Kharif
2004.0,Mangalore,51179.0,2996.6,27.0,Alluvial,Drip,107809.0,54.0,Coconut,44235.0,Kharif
2004.0,Mangalore,468.0,3522.8,27.2,Alluvial,Drip,1132.0,58.0,Coconut,203317.0,Kharif
2004.0,Mangalore,11841.0,3522.8,27.2,Alluvial,Drip,23960.0,58.0,Coconut,2134.0,Kharif
2004.0,Mangalore,50975.0,3522.8,27.2,Alluvial,Drip,126487.0,59.0,Coconut,45186.0,Kharif
2004.0,Mangalore,206.0,3729.8,27.0,Alluvial,Drip,804.0,50.0,Coconut,238542.0,Kharif
2004.0,Mangalore,10922.0,3729.8,27.0,Alluvial,Drip,30362.0,54.0,Coconut,1516.0,Kharif
2004.0,Mangalore,51390.0,3729.8,27.0,Alluvial,Drip,124492.0,53.0,Coconut,57259.0,Kharif
2004.0,Mangalore,177.0,2746.2,27.0,Alluvial,Drip,792.0,52.0,Coconut,234779.0,Kharif
2004.0,Mangalore,10723.0,2746.2,27.0,Alluvial,Drip,34153.0,51.0,Coconut,1493.0,Kharif
2004.0,Kodagu,51709.0,2746.2,27.0,Alluvial,Drip,132551.0,57.0,Coconut,64409.0,Kharif
2004.0,Kodagu,146.0,3360.0,27.2,Alluvial,Drip,338.0,57.0,Coconut,249978.0,Kharif
2004.0,Kodagu,10910.0,3360.0,27.2,Alluvial,Drip,22966.0,60.0,Coconut,637.0,Kharif
2004.0,Kodagu,51355.0,3360.0,27.2,Alluvial,Drip,131763.0,57.0,Coconut,43311.0,Kharif
2004.0,Kodagu,160.0,3605.4,27.1,Alluvial,Drip,404.0,57.0,Coconut,24848.0,Kharif
2004.0,Kodagu,10912.0,3605.4,27.1,Alluvial,Drip,24184.0,54.0,Coconut,761.0,Kharif
2004.0,Kodagu,51353.0,3605.4,27.1,Alluvial,Drip,124387.0,54.5,Coconut,45608.0,Kharif
2004.0,Kodagu,142.0,3512.4,26.8,Alluvial,Drip,343.0,56.6,Coconut,234581.0,Kharif
2004.0,Kodagu,10505.0,3512.4,26.8,Alluvial,Drip,23099.0,55.5,Coconut,646.0,Kharif
2004.0,Kodagu,51040.0,3512.4,26.8,Alluvial,Drip,117825.84,58.5,Coconut,43562.0,Kharif
2004.0,Kodagu,154.0,3296.0,37.0,Alluvial,Drip,336.0,59.5,Coconut,200000.0,Kharif
2004.0,Kodagu,10318.0,3296.0,37.0,Alluvial,Drip,22594.0,55.0,Coconut,4847.0,Kharif
2004.0,Kodagu,48083.0,3296.0,37.0,Alluvial,Drip,116481.07,53.0,Coconut,51239.0,Kharif
2004.0,Kasaragodu,143.0,3550.0,38.0,Alluvial,Drip,316.0,53.5,Coconut,216396.0,Kharif
