Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air_Quality
27.0,87.3,10.8,18.7,24.2,10.7,1.47,6.3,327,Moderate
32.2,57.0,22.8,34.4,25.7,5.8,1.5,7.0,509,Moderate
36.0,75.2,4.7,10.5,33.5,0.4,1.72,6.5,336,Moderate
26.2,52.6,11.3,11.5,29.3,14.6,1.55,7.3,397,Moderate
28.7,63.9,13.5,25.3,16.2,10.9,1.17,6.3,478,Moderate
36.7,71.8,47.7,56.7,28.8,18.0,1.57,7.6,702,Moderate
31.6,85.1,4.5,19.4,29.0,11.9,1.23,6.3,429,Moderate
34.7,69.9,29.7,43.7,29.5,11.6,1.6,6.9,398,Moderate
25.5,88.7,10.6,20.0,25.4,10.5,1.5,5.8,364,Moderate
29.7,46.7,0.4,12.9,33.2,4.5,1.63,5.2,541,Moderate
39.0,92.4,1.7,3.6,31.7,4.8,1.19,7.0,428,Moderate
29.6,68.9,1.9,7.6,26.5,4.1,1.5,9.9,398,Moderate
33.9,72.8,22.7,30.8,26.1,15.3,1.98,5.6,598,Moderate
32.0,51.9,43.7,55.7,24.3,12.1,1.41,5.1,461,Moderate
34.5,86.1,9.0,21.6,39.1,7.5,1.79,5.2,450,Moderate
33.8,86.8,12.5,20.9,26.7,6.6,1.66,5.2,685,Moderate
28.9,61.7,2.7,7.1,35.3,7.8,1.45,6.0,439,Moderate
34.1,90.5,14.3,17.4,19.6,6.4,1.59,7.0,494,Moderate
31.8,80.1,5.6,7.6,24.4,16.6,1.56,10.4,679,Moderate
30.2,87.8,3.4,15.9,36.0,14.2,1.47,7.3,399,Moderate
26.4,63.7,7.3,11.2,30.1,11.6,1.13,8.7,507,Moderate
27.8,83.3,13.5,30.5,21.6,0.7,1.64,5.4,653,Moderate
30.6,80.3,4.5,13.8,25.9,4.9,1.32,5.0,333,Moderate
34.7,74.8,6.6,19.6,26.4,12.7,1.6,8.5,304,Moderate
33.6,55.2,2.9,21.2,21.9,5.1,1.69,5.3,454,Moderate
25.7,67.7,43.0,52.4,22.5,7.2,1.35,6.0,415,Moderate
30.2,63.7,16.6,29.7,30.1,15.1,1.75,6.0,297,Moderate
29.3,74.3,8.5,19.9,26.7,11.1,1.67,7.4,599,Moderate
31.0,66.7,5.9,19.3,29.4,14.0,1.44,5.4,633,Moderate
24.7,78.9,55.7,66.2,28.5,6.3,1.33,7.2,454,Moderate
30.7,75.8,2.4,19.2,29.4,9.3,1.66,5.5,448,Moderate
