age,body_type,diet,drinks,drugs,education,ethnicity,height,income,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status,job
25,thin,,often,,graduated from college/university,hispanic / latin,64,,"oakland, california",doesn&rsquo;t have kids,straight,,agnosticism,f,cancer and it&rsquo;s fun to think about,no,"english (okay), spanish (fluently)",single,student
43,athletic,,rarely,sometimes,graduated from masters program,white,72,,"san francisco, california",doesn&rsquo;t want kids,gay,likes dogs and has cats,agnosticism and laughing about it,m,aries and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",single,non_stem
37,athletic,,socially,,graduated from college/university,white,74,,"san francisco, california",,straight,,other,m,taurus and it&rsquo;s fun to think about,no,english,single,non_stem
32,athletic,,rarely,never,graduated from college/university,white,71,80000,"castro valley, california","doesn&rsquo;t have kids, but wants them",bisexual,likes dogs,agnosticism but not too serious about it,f,virgo but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single,stem
20,average,,very often,sometimes,,white,69,20000,"berkeley, california",,gay,likes dogs and likes cats,christianity and somewhat serious about it,m,aquarius but it doesn&rsquo;t matter,sometimes,english (fluently),available,non_stem
23,average,strictly anything,socially,never,graduated from college/university,asian,72,,"san francisco, california",,straight,,christianity and somewhat serious about it,m,cancer but it doesn&rsquo;t matter,,"english (fluently), spanish (okay), italian (poorly), korean (poorly)",single,non_stem
50,overweight,anything,socially,never,,"native american, hispanic / latin",67,,"hayward, california",doesn&rsquo;t have kids,straight,has dogs and has cats,christianity and very serious about it,m,,no,"english (fluently), spanish (okay)",single,non_stem
34,average,,socially,,graduated from ph.d program,"asian, white",65,,"san francisco, california",,straight,likes dogs and dislikes cats,agnosticism but not too serious about it,f,capricorn and it&rsquo;s fun to think about,no,"english (fluently), french (okay)",single,non_stem
39,,,socially,,graduated from college/university,,63,,"oakland, california",has a kid,straight,has dogs and dislikes cats,atheism,f,aries,no,english,single,non_stem
27,thin,,socially,sometimes,graduated from masters program,white,75,,"san francisco, california",,straight,likes dogs and likes cats,atheism and laughing about it,m,pisces but it doesn&rsquo;t matter,no,"english (fluently), swedish (fluently), c++ (fluently), lisp (poorly), other (fluently)",single,stem
42,average,mostly anything,socially,,graduated from college/university,white,72,50000,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other and laughing about it,m,aries and it&rsquo;s fun to think about,no,"english, spanish (poorly), sign language (poorly)",single,non_stem
33,fit,anything,socially,never,working on masters program,white,65,,"oakland, california",,straight,likes dogs and likes cats,other,f,virgo and it&rsquo;s fun to think about,no,"english, french",single,student
34,fit,,rarely,,graduated from college/university,"white, other",74,,"berkeley, california",,straight,likes dogs and likes cats,agnosticism and somewhat serious about it,m,libra and it&rsquo;s fun to think about,no,"english (fluently), french (okay)",available,non_stem
42,fit,,socially,,graduated from college/university,white,63,,"redwood city, california",has kids,straight,likes dogs and has cats,other,f,virgo,no,"english, hebrew (poorly)",single,non_stem
51,average,mostly vegetarian,not at all,never,graduated from two-year college,white,67,,"alameda, california",doesn&rsquo;t want kids,straight,has dogs and likes cats,other and laughing about it,m,aquarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single,stem
31,fit,mostly anything,rarely,never,graduated from college/university,black,65,,"oakland, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and has cats,christianity but not too serious about it,f,aries and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single,non_stem
38,athletic,strictly other,often,never,graduated from college/university,,73,,"san francisco, california",,gay,likes dogs,atheism and somewhat serious about it,m,capricorn but it doesn&rsquo;t matter,no,english,single,non_stem
34,thin,anything,rarely,,,white,66,,"oakland, california",,straight,likes dogs and likes cats,,m,libra and it&rsquo;s fun to think about,no,english (fluently),single,student
