Protocol,Compounds,InputFields,Iterations,NumPending,Hour,Day,Class
E,997.0,137.0,20,0.0,14.0,Tue,F
E,97.0,103.0,20,0.0,13.816667,Tue,VF
E,101.0,75.0,10,0.0,13.85,Thu,VF
E,93.0,76.0,20,0.0,10.1,Fri,VF
E,100.0,82.0,20,0.0,10.366667,Fri,VF
E,100.0,82.0,20,0.0,16.533333,Wed,VF
E,105.0,88.0,20,0.0,16.4,Fri,VF
E,98.0,95.0,20,0.0,16.733333,Fri,VF
E,101.0,91.0,20,0.0,16.183333,Fri,VF
E,95.0,92.0,20,0.0,10.783333,Wed,VF
E,102.0,96.0,20,0.0,9.966667,Fri,VF
E,108.0,104.0,10,0.0,11.483333,Wed,VF
E,98.0,99.0,10,0.0,10.433333,Fri,VF
E,102.0,99.0,20,0.0,16.75,Thu,VF
E,108.0,99.0,20,0.0,16.366667,Thu,VF
E,128.0,111.0,20,0.0,16.483333,Fri,VF
E,121.0,118.0,20,0.0,16.766667,Fri,VF
E,132.0,2320.0,11,0.0,15.133333,Fri,VF
E,141.0,139.0,20,0.0,16.266667,Fri,VF
E,147.0,137.0,20,0.0,18.716667,Tue,VF
E,147.0,72.0,20,0.0,4.65,Fri,VF
E,150.0,81.0,20,0.0,5.266667,Fri,VF
E,1501.0,137.0,20,0.0,14.1,Tue,F
E,154.0,114.0,20,0.0,10.166667,Fri,VF
E,149.0,111.0,20,0.0,10.866667,Wed,VF
E,145.0,112.0,20,0.0,16.6,Wed,VF
E,155.0,116.0,20,0.0,10.433333,Fri,VF
E,157.0,112.0,20,0.0,10.0,Fri,VF
E,154.0,76.0,20,0.0,20.866667,Mon,VF
E,157.0,157.0,20,0.0,17.933333,Tue,VF
E,173.0,166.0,20,0.0,13.816667,Thu,VF
E,180.0,173.0,20,0.0,15.816667,Thu,VF
E,171.0,174.0,20,0.0,14.45,Thu,VF
E,236.0,224.0,20,0.0,11.216667,Fri,VF
E,233.0,861.0,10,0.0,17.7,Fri,VF
E,29.0,25.0,20,0.0,9.95,Thu,VF
E,231.0,127.0,20,0.0,10.483333,Fri,VF
E,239.0,141.0,20,0.0,15.733333,Fri,VF
E,244.0,210.0,20,0.0,15.916667,Fri,F
E,231.0,221.0,20,0.0,11.3,Fri,VF
E,234.0,32.0,20,0.0,11.383333,Fri,VF
E,250.0,19.0,20,0.0,11.4,Fri,VF
E,249.0,31.0,20,0.0,11.466667,Fri,VF
E,250.0,95.0,20,0.0,10.733333,Fri,VF
E,256.0,69.0,10,0.0,14.616667,Fri,VF
E,25.0,15.0,20,0.0,16.3,Fri,VF
E,30.0,19.0,20,0.0,10.216667,Fri,VF
E,32.0,17.0,20,0.0,16.45,Wed,VF
E,21.0,19.0,20,0.0,16.1,Fri,VF
E,22.0,26.0,20,0.0,17.233333,Tue,VF
E,23.0,22.0,20,0.0,9.233333,Wed,VF
E,21.0,23.0,20,0.0,9.9,Fri,VF
E,21.0,24.0,20,0.0,10.666667,Wed,VF
E,24.0,24.0,20,0.0,10.15,Wed,VF
E,308.0,289.0,20,0.0,15.5,Fri,F
E,303.0,299.0,20,0.0,16.0,Fri,F
E,300.0,299.0,20,0.0,14.5,Fri,F
E,302.0,299.0,20,0.0,14.65,Fri,F
E,328.0,35.0,20,0.0,13.783333,Mon,VF
E,35.0,33.0,20,0.0,13.883333,Tue,VF
E,39.0,35.0,20,0.0,10.65,Tue,VF
E,410.0,33.0,20,0.0,10.55,Thu,VF
E,55.0,48.0,20,0.0,10.466667,Fri,VF
E,50.0,45.0,20,0.0,11.95,Fri,VF
E,47.0,43.0,20,0.0,12.216667,Fri,VF
E,498.0,141.0,20,0.0,13.933333,Tue,F
E,50.0,38.0,20,0.0,10.283333,Fri,VF
E,50.0,45.0,20,0.0,16.333333,Fri,VF
E,46.0,42.0,20,0.0,10.066667,Fri,VF
E,54.0,47.0,20,0.0,16.183333,Wed,VF
E,49.0,44.0,20,0.0,16.133333,Fri,VF
E,48.0,50.0,20,0.0,16.583333,Fri,VF
E,52.0,51.0,20,0.0,17.25,Tue,VF
E,60.0,45.0,20,0.0,13.133333,Wed,VF
E,563.0,155.0,20,0.0,13.516667,Mon,F
E,61.0,53.0,20,0.0,11.583333,Tue,VF
E,65.0,60.0,20,0.0,9.35,Wed,VF
E,69.0,62.0,20,0.0,15.15,Wed,VF
E,70.0,60.0,20,0.0,10.083333,Mon,VF
E,63.0,71.0,20,0.0,14.116667,Wed,VF
E,74.0,70.0,20,0.0,21.65,Wed,VF
E,77.0,70.0,50,0.0,13.133333,Thu,VF
E,789.0,30.0,20,0.0,21.666667,Tue,VF
E,790.0,779.0,20,0.0,18.183333,Wed,M
E,775.0,784.0,20,0.0,14.083333,Fri,M
E,785.0,780.0,20,0.0,14.416667,Fri,M
E,787.0,778.0,20,0.0,14.2,Fri,M
E,779.0,786.0,20,0.0,14.466667,Fri,M
E,76.0,77.0,20,0.0,10.816667,Tue,VF
E,891.0,15.0,20,0.0,17.45,Tue,VF
E,894.0,207.0,20,0.0,17.55,Tue,F
E,883.0,269.0,20,0.0,17.55,Tue,F
E,885.0,52.0,20,0.0,17.583333,Tue,F
E,20.0,10.0,20,0.0,11.216667,Tue,VF
E,20.0,10.0,20,0.0,13.216667,Tue,VF
E,20.0,10.0,20,0.0,13.766667,Tue,VF
A,120.0,338.0,20,3340.0,13.25,Mon,F
A,130.0,397.0,20,160.0,16.8,Fri,F
A,129.0,373.0,20,118.0,10.666667,Mon,F
A,141.0,373.0,20,92.0,9.433333,Mon,VF
A,134.0,113.0,20,0.0,9.566667,Mon,VF
A,135.0,165.0,20,281.0,9.516667,Mon,VF
A,130.0,311.0,20,112.0,9.483333,Mon,VF
A,135.0,369.0,20,160.0,9.516667,Mon,VF
A,139.0,22.0,20,82.0,9.533333,Mon,VF
A,152.0,392.0,10,1.0,15.166667,Wed,VF
A,157.0,397.0,10,1.0,10.45,Thu,VF
A,153.0,392.0,10,0.0,15.733333,Fri,F
A,161.0,497.0,100,0.0,13.65,Fri,M
A,184.0,533.0,20,86.0,16.733333,Fri,F
A,205.0,38.0,20,8.0,11.466667,Mon,VF
A,215.0,600.0,20,0.0,17.466667,Mon,VF
A,204.0,605.0,20,0.0,17.916667,Mon,VF
A,216.0,604.0,20,0.0,15.2,Tue,F
A,228.0,610.0,20,0.0,15.233333,Tue,F
A,213.0,651.0,20,0.0,14.933333,Tue,F
A,227.0,650.0,20,0.0,14.933333,Tue,F
A,228.0,538.0,20,0.0,14.933333,Tue,F
A,220.0,541.0,20,0.0,11.483333,Tue,F
A,230.0,544.0,20,0.0,14.933333,Tue,F
A,223.0,619.0,20,0.0,15.266667,Tue,F
A,223.0,624.0,20,0.0,15.25,Tue,F
A,226.0,654.0,20,0.0,18.183333,Fri,F
A,229.0,652.0,20,0.0,9.7,Mon,VF
A,226.0,651.0,20,0.0,16.616667,Fri,F
A,221.0,661.0,20,49.0,13.816667,Tue,F
A,236.0,666.0,20,0.0,14.133333,Tue,VF
A,237.0,532.0,200,0.0,18.15,Fri,M
A,237.0,635.0,20,0.0,7.916667,Mon,F
A,231.0,690.0,20,11.0,14.866667,Tue,VF
A,233.0,699.0,20,0.0,15.033333,Tue,VF
A,252.0,699.0,20,0.0,11.616667,Mon,VF
A,31.0,79.0,20,0.0,10.2,Wed,VF
A,27.0,74.0,20,0.0,10.45,Wed,VF
A,29.0,76.0,20,0.0,14.066667,Wed,VF
A,273.0,537.0,200,0.0,17.033333,Wed,L
A,286.0,534.0,200,0.0,18.1,Fri,L
A,326.0,895.0,20,21.0,15.15,Fri,F
A,3400.0,4638.0,20,0.0,21.916667,Mon,L
A,3404.0,2574.0,20,0.0,20.4,Thu,L
A,3405.0,2082.0,20,0.0,10.866667,Fri,L
A,3397.0,4470.0,20,0.0,21.516667,Mon,L
A,3398.0,4467.0,20,0.0,0.883333,Wed,L
A,3496.0,977.0,20,0.0,7.5,Thu,L
A,3483.0,985.0,20,0.0,7.333333,Thu,L
A,3493.0,1158.0,20,0.0,7.983333,Thu,L
A,3498.0,623.0,20,0.0,11.6,Wed,L
A,3484.0,462.0,20,0.0,11.583333,Wed,L
A,3667.0,431.0,20,0.0,8.35,Tue,L
A,3680.0,431.0,20,0.0,12.95,Wed,L
A,370.0,774.0,50,0.0,11.4,Fri,M
A,3744.0,191.0,20,1.0,14.65,Wed,F
A,3768.0,248.0,20,0.0,9.616667,Wed,M
A,3768.0,247.0,20,0.0,10.566667,Wed,M
A,400.0,1180.0,20,0.0,5.583333,Wed,M
A,404.0,1186.0,20,0.0,5.45,Tue,M
A,406.0,94.0,20,0.0,11.6,Thu,VF
A,405.0,1186.0,20,0.0,6.266667,Mon,M
A,395.0,92.0,20,0.0,12.266667,Thu,VF
A,407.0,1197.0,20,0.0,10.216667,Tue,M
A,413.0,921.0,20,24.0,9.016667,Tue,F
A,410.0,66.0,20,3.0,12.333333,Thu,M
A,415.0,83.0,20,0.0,20.366667,Mon,VF
A,413.0,412.0,20,0.0,10.616667,Fri,M
A,412.0,416.0,20,0.0,4.866667,Mon,M
A,413.0,51.0,20,0.0,5.333333,Mon,VF
A,411.0,63.0,20,0.0,5.166667,Mon,VF
A,422.0,934.0,20,0.0,10.5,Fri,M
A,423.0,953.0,20,0.0,10.55,Fri,M
A,424.0,166.0,20,0.0,9.066667,Fri,VF
A,417.0,195.0,20,0.0,10.533333,Fri,F
A,417.0,234.0,20,0.0,10.466667,Fri,F
A,420.0,26.0,20,0.0,10.366667,Fri,VF
A,425.0,53.0,20,0.0,10.616667,Fri,VF
A,424.0,213.0,20,0.0,6.783333,Wed,F
A,4505.0,155.0,20,6.0,16.583333,Wed,F
A,461.0,684.0,20,0.0,14.85,Tue,M
A,457.0,689.0,20,0.0,14.05,Tue,M
A,458.0,179.0,10,3.0,10.733333,Tue,F
A,460.0,185.0,10,3.0,10.9,Tue,F
A,455.0,184.0,10,3.0,14.466667,Thu,M
A,468.0,306.0,20,0.0,19.333333,Mon,VF
A,471.0,440.0,20,23.0,15.666667,Wed,VF
A,467.0,663.0,20,22.0,19.683333,Mon,F
A,529.0,744.0,20,21.0,18.383333,Thu,F
A,533.0,576.0,20,0.0,14.0,Tue,F
A,529.0,615.0,20,0.0,7.666667,Fri,F
A,52.0,171.0,20,0.0,6.2,Mon,VF
A,69.0,201.0,20,0.0,15.866667,Wed,VF
A,877.0,865.0,20,17.0,14.8,Mon,F
C,99.0,938.0,20,0.0,17.933333,Thu,VF
C,1056.0,2783.0,10,0.0,5.8,Thu,VF
C,1068.0,2781.0,20,0.0,13.733333,Wed,VF
C,1063.0,4775.0,10,0.0,14.25,Mon,VF
C,1057.0,1837.0,10,0.0,5.383333,Fri,VF
C,106.0,3357.0,20,0.0,12.533333,Mon,VF
C,114.0,3359.0,20,0.0,14.016667,Mon,VF
C,113.0,6204.0,20,0.0,13.216667,Mon,VF
