Protocol,Compounds,InputFields,Iterations,NumPending,Hour,Day,Class
N,146.0,399.0,10,0.0,16.983333,Fri,F
O,314.0,462.0,50,29.0,14.466667,Tue,F
J,1062.0,93.0,10,3.0,5.333333,Fri,F
M,178.0,1110.0,20,34.0,16.716667,Fri,F
H,20.0,10.0,20,0.0,17.233333,Thu,F
O,22.0,112.0,100,0.0,12.316667,Wed,F
N,256.0,4423.0,20,0.0,11.566667,Thu,F
J,161.0,2478.0,20,2.0,9.666667,Mon,F
N,2520.0,130.0,20,0.0,18.483333,Mon,F
F,36.0,940.0,100,0.0,10.866667,Tue,F
M,233.0,1093.0,20,0.0,14.983333,Tue,F
O,316.0,474.0,20,0.0,15.483333,Wed,F
N,30.0,571.0,100,0.0,8.883333,Wed,F
N,111.0,1075.0,20,129.0,16.383333,Thu,F
M,47.0,307.0,20,0.0,9.95,Fri,F
A,877.0,865.0,20,17.0,14.8,Mon,F
N,46.0,1054.0,20,16.0,10.65,Tue,F
G,177.0,483.0,20,232.0,15.733333,Tue,F
L,229.0,12568.0,20,0.0,9.85,Tue,F
J,192.0,381.0,20,0.0,10.216667,Tue,F
F,26.0,461.0,100,0.0,10.3,Thu,F
C,26.0,3795.0,100,0.0,16.15,Tue,F
N,201.0,33.0,20,7.0,11.483333,Mon,F
M,148.0,396.0,10,2.0,11.066667,Thu,F
J,595.0,71.0,20,0.0,13.1,Sun,F
H,33.0,104.0,20,0.0,10.616667,Tue,F
M,458.0,130.0,20,0.0,14.683333,Thu,F
O,46.0,412.0,20,0.0,12.25,Wed,F
N,225.0,1258.0,20,115.0,11.15,Wed,F
M,42.0,1045.0,20,79.0,13.916667,Tue,F
L,1504.0,4440.0,20,0.0,14.05,Tue,F
J,1411.0,138.0,10,1.0,10.233333,Wed,F
H,244.0,660.0,20,0.0,11.316667,Fri,F
J,186.0,379.0,20,0.0,18.933333,Sun,F
I,24.0,4426.0,100,0.0,16.133333,Tue,F
O,1221.0,87.0,20,0.0,15.016667,Fri,F
J,1418.0,137.0,10,0.0,15.616667,Tue,F
N,470.0,955.0,20,0.0,16.783333,Wed,F
J,374.0,291.0,50,0.0,11.05,Fri,F
M,231.0,544.0,20,0.0,18.066667,Mon,F
N,226.0,2223.0,20,0.0,14.933333,Tue,F
C,376.0,5817.0,50,0.0,11.016667,Fri,F
M,118.0,2484.0,20,0.0,15.75,Mon,F
J,33.0,703.0,200,0.0,17.866667,Wed,F
O,347.0,467.0,20,0.0,13.983333,Fri,F
A,413.0,921.0,20,24.0,9.016667,Tue,F
I,132.0,4498.0,20,0.0,10.433333,Wed,F
J,722.0,69.0,20,0.0,13.083333,Sun,F
H,54.0,129.0,20,0.0,10.1,Fri,F
J,240.0,260.0,20,3.0,10.966667,Mon,F
M,281.0,626.0,20,48.0,17.8,Mon,F
N,180.0,1186.0,20,174.0,15.833333,Thu,F
J,424.0,72.0,20,0.0,13.083333,Sun,F
N,158.0,541.0,20,314.0,18.516667,Tue,F
N,2727.0,384.0,20,19.0,0.033333,Thu,F
F,75.0,3293.0,20,8.0,10.85,Tue,F
J,696.0,77.0,20,0.0,13.1,Sun,F
M,535.0,813.0,20,1.0,10.166667,Fri,F
O,353.0,468.0,20,0.0,18.25,Tue,F
O,488.0,1417.0,20,5.0,14.516667,Mon,F
J,1417.0,139.0,10,1.0,7.016667,Wed,F
J,299.0,263.0,20,0.0,15.466667,Thu,F
J,529.0,221.0,20,131.0,22.216667,Mon,F
J,116.0,310.0,20,3490.0,13.25,Mon,F
H,207.0,602.0,20,0.0,17.466667,Mon,F
H,133.0,367.0,20,69.0,9.416667,Mon,F
N,105.0,1309.0,20,0.0,13.966667,Fri,F
O,308.0,466.0,20,8.0,10.6,Fri,F
N,220.0,1198.0,20,0.0,15.25,Tue,F
F,147.0,965.0,20,110.0,16.283333,Fri,F
M,355.0,706.0,20,0.0,19.433333,Thu,F
O,27.0,110.0,100,0.0,12.283333,Wed,F
N,582.0,675.0,20,16.0,14.25,Mon,F
M,1066.0,408.0,10,0.0,13.566667,Wed,F
C,1410.0,2761.0,10,0.0,10.15,Wed,F
J,717.0,72.0,20,0.0,13.083333,Sun,F
J,578.0,70.0,20,0.0,13.083333,Sun,F
O,353.0,465.0,20,0.0,14.75,Wed,F
M,191.0,79.0,20,287.0,17.766667,Mon,F
H,229.0,671.0,20,69.0,11.116667,Wed,F
J,469.0,75.0,20,0.0,13.066667,Sun,F
O,283.0,462.0,20,2.0,11.216667,Wed,F
H,151.0,395.0,10,1.0,16.166667,Fri,F
O,277.0,466.0,20,10.0,15.416667,Wed,F
H,400.0,359.0,20,354.0,12.016667,Thu,F
M,421.0,23.0,20,0.0,16.983333,Tue,F
H,589.0,646.0,20,16.0,15.266667,Mon,F
J,185.0,338.0,20,0.0,17.533333,Sat,F
M,58.0,507.0,20,0.0,15.183333,Wed,F
N,244.0,665.0,20,0.0,7.866667,Mon,F
M,31.0,1423.0,20,86.0,17.016667,Mon,F
M,167.0,570.0,20,0.0,17.966667,Tue,F
M,160.0,349.0,20,56.0,12.45,Wed,F
M,166.0,545.0,20,0.0,17.416667,Tue,F
J,1065.0,140.0,10,1.0,7.066667,Thu,F
O,304.0,465.0,50,20.0,9.95,Wed,F
H,41.0,127.0,20,0.0,10.65,Fri,F
N,170.0,1176.0,20,109.0,14.466667,Thu,F
O,149.0,117.0,20,1.0,10.416667,Fri,F
O,234.0,437.0,20,217.0,11.15,Wed,F
J,787.0,1114.0,20,8.0,13.933333,Fri,F
N,141.0,938.0,20,20.0,16.783333,Fri,F
O,69.0,134.0,20,0.0,15.483333,Thu,F
M,29.0,354.0,20,0.0,16.133333,Fri,F
J,448.0,243.0,20,0.0,13.95,Tue,F
L,2512.0,11277.0,20,0.0,18.466667,Tue,F
O,534.0,256.0,20,0.0,22.233333,Mon,F
O,34.0,163.0,100,0.0,15.866667,Mon,F
L,223.0,19884.0,20,0.0,15.183333,Tue,F
H,49.0,136.0,20,0.0,17.866667,Fri,F
J,578.0,234.0,20,49.0,14.683333,Mon,F
F,1506.0,716.0,20,55.0,14.066667,Tue,F
J,397.0,718.0,20,0.0,14.116667,Mon,F
O,152.0,139.0,10,0.0,20.166667,Wed,F
J,48.0,707.0,200,0.0,17.766667,Wed,F
I,3681.0,3595.0,20,0.0,8.5,Tue,F
L,174.0,11369.0,100,0.0,13.633333,Fri,F
J,892.0,435.0,20,1.0,16.833333,Fri,F
N,944.0,692.0,20,0.0,0.266667,Thu,F
O,353.0,460.0,20,0.0,15.65,Fri,F
H,146.0,343.0,20,0.0,10.483333,Fri,F
M,273.0,1315.0,20,2.0,13.966667,Wed,F
F,996.0,719.0,20,80.0,13.983333,Tue,F
O,152.0,119.0,20,0.0,10.016667,Fri,F
M,369.0,172.0,20,0.0,20.766667,Thu,F
H,52.0,156.0,20,0.0,14.916667,Wed,F
N,588.0,1549.0,20,10.0,16.183333,Mon,F
A,230.0,544.0,20,0.0,14.933333,Tue,F
H,487.0,393.0,20,99.0,13.6,Thu,F
M,330.0,98.0,20,1.0,11.483333,Thu,F
M,149.0,795.0,20,0.0,11.816667,Fri,F
L,2517.0,11280.0,20,0.0,9.816667,Wed,F
M,563.0,463.0,20,9.0,14.15,Mon,F
J,425.0,75.0,20,0.0,13.083333,Sun,F
J,485.0,69.0,20,0.0,8.566667,Mon,F
M,153.0,534.0,20,0.0,18.283333,Tue,F
H,527.0,751.0,20,12.0,22.233333,Mon,F
J,243.0,276.0,20,224.0,11.316667,Fri,F
I,31.0,17999.0,100,0.0,17.75,Tue,F
O,325.0,29.0,20,61.0,11.466667,Thu,F
O,309.0,195.0,20,0.0,18.8,Tue,F
F,33.0,704.0,100,0.0,16.05,Mon,F
L,2509.0,10438.0,20,0.0,9.75,Wed,F
M,128.0,471.0,20,0.0,16.766667,Fri,F
J,1348.0,134.0,10,1.0,10.033333,Thu,F
M,411.0,432.0,20,0.0,9.983333,Wed,F
M,121.0,846.0,20,0.0,17.183333,Tue,F
H,4510.0,163.0,20,103.0,16.633333,Wed,F
M,456.0,1233.0,20,0.0,1.933333,Fri,F
O,58.0,170.0,20,0.0,16.633333,Fri,F
N,228.0,2868.0,20,0.0,15.216667,Tue,F
O,352.0,468.0,50,0.0,18.683333,Wed,F
M,163.0,847.0,50,0.0,15.583333,Mon,F
N,35.0,418.0,100,0.0,16.133333,Mon,F
N,85.0,1970.0,20,0.0,10.833333,Tue,F
M,38.0,2080.0,20,0.0,14.3,Wed,F
