Age,Height,Matches,Minutes/Match,Goals/Match,Assists/Match,Yellow Cards/Match,Red Cards/Match,Shots/Match,Pass Success Rate,Aerials Won,class
26,179,5.0,67.2,0.0,0.0,0.0,0.0,0.0,71.1,1.6,Defender
28,188,71.0,78.4507042253521,0.056338028169014,0.0,0.154929577464789,0.0140845070422535,0.5,88.0,2.1,Defender
24,191,2.0,9.5,0.0,0.0,0.0,0.0,0.0,100.0,0.5,Defender
24,193,2.0,24.0,0.0,0.0,0.0,0.0,0.0,70.8,0.0,Defender
36,189,285.0,80.3228070175439,0.0350877192982456,0.0385964912280701,0.0912280701754386,0.0035087719298245,0.5,82.1,2.3,Defender
30,188,148.0,81.7364864864865,0.0405405405405405,0.0,0.297297297297297,0.0202702702702702,0.4,81.9,2.7,Defender
29,182,18.0,49.1111111111111,0.0555555555555555,0.0,0.0555555555555555,0.0,0.6,81.0,0.8,Defender
25,186,81.0,78.9753086419753,0.074074074074074,0.0,0.17283950617284,0.0617283950617283,0.4,83.8,2.1,Defender
28,180,42.0,90.0,0.0714285714285714,0.0952380952380952,0.119047619047619,0.0,0.9,77.6,0.7,Defender
25,182,26.0,65.5384615384615,0.0384615384615384,0.0384615384615384,0.230769230769231,0.0384615384615384,0.6,82.1,1.9,Defender
21,173,6.0,28.6666666666667,0.0,0.0,0.0,0.0,0.8,87.2,0.3,Defender
24,190,99.0,74.8787878787879,0.0404040404040404,0.0101010101010101,0.191919191919192,0.0101010101010101,0.4,88.8,0.9,Defender
29,193,249.0,82.4658634538153,0.0401606425702811,0.0200803212851405,0.208835341365462,0.0200803212851405,0.6,82.2,3.6,Defender
22,176,12.0,51.8333333333333,0.0,0.0,0.0,0.0,0.5,74.4,0.6,Defender
25,188,109.0,83.1192660550459,0.036697247706422,0.0275229357798165,0.119266055045872,0.0,0.4,86.2,1.6,Defender
22,183,2.0,82.0,0.0,0.0,0.0,0.0,0.0,91.1,0.0,Defender
23,180,13.0,90.0,0.0769230769230769,0.0,0.153846153846154,0.0,0.5,85.9,1.0,Defender
30,191,98.0,81.734693877551,0.0612244897959183,0.0204081632653061,0.244897959183673,0.0306122448979591,0.6,82.6,2.6,Defender
30,184,47.0,69.4042553191489,0.0,0.0,0.148936170212766,0.0,0.1,75.7,0.9,Defender
24,183,78.0,76.0128205128205,0.0,0.0641025641025641,0.0769230769230769,0.0256410256410256,0.4,73.0,0.7,Defender
31,183,138.0,61.2391304347826,0.0,0.036231884057971,0.101449275362319,0.0,0.2,77.3,0.6,Defender
24,185,33.0,58.4545454545455,0.0,0.0606060606060606,0.181818181818182,0.0,0.2,84.1,0.5,Defender
21,189,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Defender
37,183,198.0,82.9242424242424,0.0202020202020202,0.0353535353535353,0.212121212121212,0.0252525252525252,0.6,77.6,1.8,Defender
22,181,10.0,65.2,0.0,0.0,0.2,0.0,0.5,87.6,0.2,Defender
22,189,7.0,62.0,0.0,0.142857142857143,0.142857142857143,0.0,0.0,62.5,0.4,Defender
33,187,177.0,75.1129943502825,0.0451977401129943,0.0169491525423728,0.101694915254237,0.0169491525423728,0.4,77.6,2.7,Defender
32,185,79.0,85.379746835443,0.0,0.0253164556962025,0.227848101265823,0.0,0.5,76.8,1.9,Defender
23,193,82.0,81.5243902439025,0.048780487804878,0.048780487804878,0.182926829268293,0.0,0.4,89.2,1.3,Defender
