att1,att2,att3,att4,att5,att6,class
1.0,0.0,0.0,133.1508614,1.31169276,1620.22177892,1
1.0,0.0,0.0,126.7248614,1.30274497,1609.33482208,1
1.0,0.0,0.0,131.1738614,1.31903101,1568.97843469,1
1.0,0.0,0.0,129.4788614,1.27087816,1695.05528143,1
1.0,0.0,0.0,127.2628614,1.32963668,1647.72023493,1
1.0,0.0,0.0,131.0588614,1.31040314,2027.21136662,1
1.0,0.0,0.0,138.4428614,1.3799056,1918.75047185,1
1.0,0.0,0.0,129.3468614,1.30564601,1547.26372726,1
1.0,0.0,0.0,139.5428614,1.37466149,1871.05593439,1
1.0,0.0,0.0,132.6288614,1.37443436,1884.68045797,1
1.0,0.0,0.0,128.6848614,1.31939425,1624.01155591,1
1.0,0.0,0.0,129.3468614,1.21089933,1635.04409893,1
1.0,0.0,0.0,141.0728614,1.3362162,2180.62914883,1
1.0,0.0,0.0,130.8108614,1.24891175,1627.67135921,1
1.0,0.0,0.0,131.8688614,1.29906355,1677.24740162,1
1.0,0.0,0.0,128.6188614,1.2258792,1517.03921772,1
1.0,0.0,0.0,127.1298614,1.27032101,1739.28312447,1
1.0,0.0,0.0,135.8468614,1.36688949,1640.18658283,1
1.0,0.0,0.0,127.7588614,1.3621881,1549.72096683,1
1.0,0.0,0.0,134.3248614,1.30199634,1785.05823338,1
1.0,0.0,0.0,127.9238614,1.32746906,1560.58174693,1
1.0,0.0,0.0,128.8008614,1.24259837,1519.8470536,1
1.0,0.0,0.0,132.4228614,1.23697413,1655.20500139,1
1.0,0.0,0.0,129.2888614,1.25540818,1590.04207577,1
1.0,0.0,0.0,136.1108614,1.2721217,1819.02008544,1
1.0,0.0,0.0,131.3228614,1.2625071,1662.38695428,1
1.0,0.0,0.0,134.2588614,1.27744906,1655.18687555,1
1.0,0.0,0.0,134.5068614,1.3629774,1745.60012462,1
1.0,0.0,0.0,131.7028614,1.33715462,1855.10493034,1
1.0,0.0,0.0,134.8208614,1.2491434,1623.20696993,1
