age,body_type,diet,drinks,drugs,education,ethnicity,height,income,location,offspring,orientation,pets,religion,sex,sign,smokes,speaks,status,job
25.0,thin,mostly anything,often,never,graduated from college/university,hispanic / latin,64.0,60000.0,"oakland, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism,f,cancer and it&rsquo;s fun to think about,no,"english (okay), spanish (fluently)",single,student
43.0,athletic,mostly anything,rarely,sometimes,graduated from masters program,white,72.0,60000.0,"san francisco, california",doesn&rsquo;t want kids,gay,likes dogs and has cats,agnosticism and laughing about it,m,aries and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",single,non_stem
37.0,athletic,mostly anything,socially,never,graduated from college/university,white,74.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,m,taurus and it&rsquo;s fun to think about,no,english,single,non_stem
32.0,athletic,mostly anything,rarely,never,graduated from college/university,white,71.0,80000.0,"castro valley, california","doesn&rsquo;t have kids, but wants them",bisexual,likes dogs,agnosticism but not too serious about it,f,virgo but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single,stem
20.0,average,mostly anything,very often,sometimes,graduated from college/university,white,69.0,20000.0,"berkeley, california",doesn&rsquo;t have kids,gay,likes dogs and likes cats,christianity and somewhat serious about it,m,aquarius but it doesn&rsquo;t matter,sometimes,english (fluently),available,non_stem
23.0,average,strictly anything,socially,never,graduated from college/university,asian,72.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,christianity and somewhat serious about it,m,cancer but it doesn&rsquo;t matter,no,"english (fluently), spanish (okay), italian (poorly), korean (poorly)",single,non_stem
50.0,overweight,anything,socially,never,graduated from college/university,"native american, hispanic / latin",67.0,60000.0,"hayward, california",doesn&rsquo;t have kids,straight,has dogs and has cats,christianity and very serious about it,m,libra and it&rsquo;s fun to think about,no,"english (fluently), spanish (okay)",single,non_stem
34.0,average,mostly anything,socially,never,graduated from ph.d program,"asian, white",65.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and dislikes cats,agnosticism but not too serious about it,f,capricorn and it&rsquo;s fun to think about,no,"english (fluently), french (okay)",single,non_stem
39.0,average,mostly anything,socially,never,graduated from college/university,white,63.0,60000.0,"oakland, california",has a kid,straight,has dogs and dislikes cats,atheism,f,aries,no,english,single,non_stem
27.0,thin,mostly anything,socially,sometimes,graduated from masters program,white,75.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,atheism and laughing about it,m,pisces but it doesn&rsquo;t matter,no,"english (fluently), swedish (fluently), c++ (fluently), lisp (poorly), other (fluently)",single,stem
42.0,average,mostly anything,socially,never,graduated from college/university,white,72.0,50000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other and laughing about it,m,aries and it&rsquo;s fun to think about,no,"english, spanish (poorly), sign language (poorly)",single,non_stem
33.0,fit,anything,socially,never,working on masters program,white,65.0,60000.0,"oakland, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,f,virgo and it&rsquo;s fun to think about,no,"english, french",single,student
34.0,fit,mostly anything,rarely,never,graduated from college/university,"white, other",74.0,60000.0,"berkeley, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism and somewhat serious about it,m,libra and it&rsquo;s fun to think about,no,"english (fluently), french (okay)",available,non_stem
42.0,fit,mostly anything,socially,never,graduated from college/university,white,63.0,60000.0,"redwood city, california",has kids,straight,likes dogs and has cats,other,f,virgo,no,"english, hebrew (poorly)",single,non_stem
51.0,average,mostly vegetarian,not at all,never,graduated from two-year college,white,67.0,60000.0,"alameda, california",doesn&rsquo;t want kids,straight,has dogs and likes cats,other and laughing about it,m,aquarius but it doesn&rsquo;t matter,no,"english (fluently), spanish (poorly)",single,stem
31.0,fit,mostly anything,rarely,never,graduated from college/university,black,65.0,60000.0,"oakland, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and has cats,christianity but not too serious about it,f,aries and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single,non_stem
38.0,athletic,strictly other,often,never,graduated from college/university,white,73.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,gay,likes dogs,atheism and somewhat serious about it,m,capricorn but it doesn&rsquo;t matter,no,english,single,non_stem
34.0,thin,anything,rarely,never,graduated from college/university,white,66.0,60000.0,"oakland, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,m,libra and it&rsquo;s fun to think about,no,english (fluently),single,student
28.0,average,mostly anything,socially,never,working on college/university,black,72.0,60000.0,"san pablo, california",doesn&rsquo;t have kids,straight,likes dogs,agnosticism and laughing about it,m,cancer but it doesn&rsquo;t matter,when drinking,"english (fluently), spanish (poorly)",seeing someone,non_stem
36.0,skinny,anything,socially,sometimes,graduated from college/university,white,69.0,60000.0,"oakland, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,m,aries and it&rsquo;s fun to think about,no,english,single,non_stem
42.0,thin,mostly anything,not at all,never,graduated from college/university,white,66.0,60000.0,"berkeley, california",has a kid,straight,has cats,agnosticism and very serious about it,f,capricorn but it doesn&rsquo;t matter,no,"english, spanish (okay)",single,student
44.0,average,anything,socially,never,graduated from masters program,white,66.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism but not too serious about it,f,taurus,no,english,single,non_stem
20.0,athletic,mostly kosher,socially,sometimes,working on college/university,"pacific islander, hispanic / latin",69.0,60000.0,"long beach, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,buddhism but not too serious about it,m,leo and it&rsquo;s fun to think about,sometimes,"english (fluently), tagalog (fluently)",single,non_stem
53.0,average,mostly anything,rarely,never,masters program,white,66.0,60000.0,"san francisco, california",has kids,straight,has cats,other,f,pisces,no,"english (fluently), spanish (poorly)",single,non_stem
29.0,athletic,mostly anything,socially,never,graduated from masters program,white,69.0,150000.0,"san francisco, california",doesn&rsquo;t have kids,straight,dislikes dogs and dislikes cats,agnosticism,m,cancer,no,"english (fluently), spanish (okay), german (poorly)",single,non_stem
36.0,average,strictly anything,often,never,graduated from college/university,"black, hispanic / latin",66.0,50000.0,"san francisco, california",doesn&rsquo;t have kids,gay,likes dogs and likes cats,other,f,cancer,when drinking,english,single,non_stem
41.0,thin,mostly anything,rarely,never,graduated from college/university,white,70.0,60000.0,"martinez, california",doesn&rsquo;t want kids,straight,likes dogs and has cats,other,m,sagittarius,sometimes,english,single,non_stem
56.0,average,mostly vegetarian,socially,never,graduated from college/university,white,66.0,50000.0,"san anselmo, california",doesn&rsquo;t have kids,straight,has cats,buddhism and laughing about it,f,leo but it doesn&rsquo;t matter,no,english (fluently),single,non_stem
26.0,skinny,mostly anything,socially,never,graduated from college/university,white,68.0,40000.0,"menlo park, california",doesn&rsquo;t have kids,straight,has dogs,other,f,scorpio,when drinking,"english, spanish (poorly)",single,stem
24.0,average,mostly anything,rarely,never,working on ph.d program,white,69.0,60000.0,"berkeley, california",doesn&rsquo;t have kids,straight,likes dogs,atheism and very serious about it,m,taurus but it doesn&rsquo;t matter,when drinking,"english (fluently), french (okay), german (poorly)",single,non_stem
47.0,fit,mostly anything,socially,never,graduated from masters program,white,67.0,60000.0,"san francisco, california",has a kid,straight,likes dogs and has cats,judaism but not too serious about it,f,taurus but it doesn&rsquo;t matter,no,"english (fluently), french (poorly), spanish (poorly)",single,non_stem
27.0,average,strictly anything,socially,never,graduated from college/university,white,69.0,60000.0,"oakland, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other and very serious about it,m,sagittarius but it doesn&rsquo;t matter,yes,english,single,non_stem
45.0,average,anything,socially,never,graduated from college/university,indian,68.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,other,f,libra and it&rsquo;s fun to think about,no,english (fluently),single,non_stem
47.0,average,mostly anything,often,sometimes,working on college/university,hispanic / latin,74.0,60000.0,"san francisco, california",doesn&rsquo;t want kids,bisexual,likes dogs and has cats,agnosticism and somewhat serious about it,m,leo and it&rsquo;s fun to think about,no,"english (fluently), spanish (poorly)",single,non_stem
31.0,fit,mostly anything,socially,never,working on ph.d program,white,64.0,60000.0,"san francisco, california",doesn&rsquo;t have kids,straight,likes dogs and likes cats,agnosticism and laughing about it,f,aquarius but it doesn&rsquo;t matter,no,english (fluently),single,stem
25.0,athletic,anything,socially,sometimes,graduated from college/university,"hispanic / latin, white",69.0,60000.0,"redwood city, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs and has cats,judaism and somewhat serious about it,m,taurus and it&rsquo;s fun to think about,no,"english (fluently), hebrew (poorly), spanish (poorly)",single,non_stem
33.0,fit,mostly anything,socially,never,graduated from masters program,white,66.0,60000.0,"san francisco, california","doesn&rsquo;t have kids, but wants them",straight,likes dogs,other,f,libra and it&rsquo;s fun to think about,no,"english, italian (okay), spanish (poorly)",single,non_stem
