Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
1840,6.4,0.6,6.2,1.3,9.5,3.04,Moderate
982,8.0,0.3,8.4,5.6,1.7,3.28,Moderate
1865,6.8,1.6,8.5,5.6,1.5,3.33,Moderate
1667,6.2,1.3,6.0,3.0,7.5,3.12,Moderate
1180,6.0,1.3,8.0,1.3,7.4,2.95,Moderate
213,6.1,2.1,8.0,3.5,4.3,2.79,Moderate
1937,7.4,1.6,9.6,0.7,4.7,2.75,Moderate
861,8.0,2.1,6.4,0.0,7.5,2.83,Moderate
1979,6.3,3.4,9.5,0.9,3.9,2.97,Moderate
1930,8.0,2.7,10.0,0.8,2.5,3.2,Moderate
219,6.3,3.5,9.0,3.4,1.8,3.11,Moderate
1919,7.5,3.6,9.7,2.6,0.6,2.84,Moderate
1479,6.2,3.0,6.3,5.3,3.2,2.91,Moderate
297,6.1,0.8,8.1,2.5,6.5,2.67,Moderate
796,6.3,0.1,7.7,5.1,4.8,3.22,Moderate
908,6.7,1.8,8.4,3.1,4.0,2.92,Moderate
985,6.5,0.8,9.5,4.6,2.6,2.74,Moderate
1013,7.3,2.4,7.1,0.2,7.0,3.17,Moderate
356,7.5,3.4,8.7,2.4,2.0,3.24,Moderate
1864,7.7,4.0,7.0,3.3,2.0,3.44,Moderate
668,7.9,2.4,6.8,0.3,6.6,3.14,Moderate
755,6.5,2.2,7.1,1.0,7.2,2.91,Moderate
1483,6.7,0.1,6.7,4.8,5.7,3.01,Moderate
550,7.5,0.8,8.0,1.1,6.6,3.43,Moderate
600,6.0,2.5,8.7,4.4,2.4,3.05,Moderate
464,8.0,3.3,9.9,0.8,2.0,3.13,Moderate
1994,7.1,1.4,9.0,3.1,3.4,2.85,Moderate
1593,7.2,3.2,8.1,0.6,4.9,3.04,Moderate
904,6.0,1.7,6.1,0.0,10.2,2.87,Moderate
1743,7.0,2.2,7.7,3.0,4.1,3.05,Moderate
1883,6.3,0.8,8.0,0.5,8.4,2.91,Moderate
316,7.0,1.8,8.0,3.1,4.1,3.15,Moderate
1028,6.1,2.0,6.3,0.1,9.5,3.05,Moderate
1707,8.0,2.9,7.9,0.3,4.9,3.25,Moderate
430,7.6,1.7,6.6,2.6,5.5,3.34,Moderate
930,6.6,2.5,6.8,0.9,7.2,2.88,Moderate
262,7.2,2.1,6.8,3.6,4.3,3.01,Moderate
409,7.5,3.3,6.7,1.0,5.5,3.29,Moderate
1995,7.9,3.4,9.0,0.5,3.2,3.08,Moderate
292,6.6,2.4,8.6,1.6,4.8,3.27,Moderate
1762,6.2,1.2,8.9,2.0,5.7,2.85,Moderate
28,6.4,0.1,8.0,3.0,6.5,2.95,Moderate
1508,7.0,2.0,9.4,2.3,3.3,2.98,Moderate
875,7.5,2.7,6.2,4.5,3.1,2.97,Moderate
1784,7.1,0.8,6.4,3.0,6.7,3.08,Moderate
867,6.3,0.8,6.2,1.8,8.9,3.37,Moderate
115,6.0,1.5,7.5,4.1,4.9,2.76,Moderate
1757,7.0,3.6,6.9,4.4,2.1,2.84,Moderate
1498,7.5,1.7,7.1,1.4,6.3,3.32,Moderate
1113,6.8,2.1,10.0,2.4,2.7,2.96,Moderate
884,6.5,3.4,9.3,3.7,1.1,3.02,Moderate
1842,7.8,1.0,6.3,0.2,8.7,3.27,Moderate
1594,7.0,3.0,7.9,2.3,3.8,2.81,Moderate
1634,6.3,3.1,9.4,1.2,4.0,2.91,Moderate
977,6.6,0.4,6.8,0.6,9.6,3.31,Moderate
1986,8.0,1.3,8.9,4.9,0.9,2.93,Moderate
6,6.0,2.1,8.0,0.3,7.6,2.85,Moderate
718,7.0,3.5,9.5,3.6,0.4,3.4,Moderate
494,6.2,2.9,9.1,4.7,1.1,2.83,Moderate
1738,7.0,3.8,7.1,3.6,2.5,3.11,Moderate
285,8.0,2.7,8.1,2.4,2.8,3.4,Moderate
636,7.7,0.3,8.8,3.5,3.7,3.29,Moderate
496,6.4,0.5,8.1,0.3,8.7,2.61,Moderate
1240,6.1,3.1,6.0,0.5,8.3,2.9,Moderate
1041,6.7,2.5,7.7,0.8,6.3,2.81,Moderate
1236,7.6,0.5,8.0,2.9,5.0,3.15,Moderate
302,8.0,2.0,9.9,0.6,3.5,2.93,Moderate
786,7.7,0.7,6.5,4.0,5.1,3.54,Moderate
1708,6.4,0.3,7.1,3.3,6.9,2.77,Moderate
467,7.2,1.2,6.3,1.2,8.1,3.05,Moderate
686,7.4,3.4,6.8,5.2,1.2,3.45,Moderate
954,7.8,0.6,8.6,3.6,3.4,3.26,Moderate
250,7.3,2.6,7.6,4.4,2.1,3.13,Moderate
1108,6.4,3.3,6.9,0.5,6.9,2.9,Moderate
110,7.3,3.9,7.5,1.7,3.6,3.08,Moderate
281,6.6,2.7,9.0,4.3,1.4,2.93,Moderate
