col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,class
29.0875,32.8862,46.6395,39.3954,45.5096,40.0179,30.7446,23.2357,14.4476,22.6805,19.8003,23.7057,35.0993,43.2125,42.9126,45.1533,42.3772,30.0492,25.5925,19.6269,21.9391,20.6705,26.3571,37.0265,37.4641,45.6748,47.0213,39.5001,29.419,23.6609,20.1667,17.3178,14.0001,22.6078,25.5213,33.0804,40.5433,48.4447,41.3228,34.9232,28.8677,19.2215,22.2638,12.4436,27.5786,27.6151,38.4579,44.6021,49.0474,38.6107,39.2059,27.906,27.8161,22.8421,20.0701,22.1681,25.3195,34.2882,45.1036,42.5741,Cyclic
27.2381,33.0688,35.5037,47.9814,35.8772,34.3964,31.5676,29.2289,22.2233,13.3213,13.4067,19.5147,25.5158,32.8675,40.8028,47.3925,45.3858,41.6648,34.6966,22.8944,28.2007,18.3056,15.7062,15.832,26.227,35.2259,32.992,36.7741,36.5804,37.9341,38.9267,24.9742,18.6681,15.9754,16.1688,24.0822,19.2296,31.8168,28.769,34.6447,43.9554,40.8663,42.2959,37.2861,28.6749,24.6312,15.4931,13.3221,21.9283,23.4931,30.568,38.5444,43.6723,41.7671,40.4899,36.5012,24.7778,25.9279,20.162,18.7329,Cyclic
32.716,34.4624,39.9308,41.2031,36.7692,34.8305,26.4752,18.6752,16.8035,15.0381,13.8694,28.4405,38.3421,45.2852,45.0892,45.1278,45.0149,36.9788,28.1217,19.8534,12.8856,19.289,24.9619,26.4264,30.4139,39.9704,45.2465,43.227,39.4389,32.4509,24.4247,19.2532,19.4648,14.4983,27.1488,30.6762,33.0809,44.4197,44.9099,45.175,35.9552,26.4771,17.2278,14.9977,14.7964,22.3719,31.3013,37.8703,44.5885,42.828,38.9108,37.242,25.7467,22.6635,24.2303,20.8374,17.104,20.6524,24.1314,31.488,Cyclic
35.2035,37.3285,38.2443,42.1728,33.8241,31.908,25.1495,14.6118,17.7035,21.8239,26.6091,31.1333,36.8255,43.551,39.8234,35.593,26.3809,21.0756,15.3222,20.0376,25.1575,33.7307,40.9874,37.022,38.0681,42.7154,28.3405,20.6781,22.7555,20.4602,14.7227,29.8481,36.8477,37.4034,46.4199,41.7533,30.6525,25.6968,17.4739,21.7989,22.8206,19.4374,25.4278,32.0002,36.4538,36.355,40.7067,28.2642,21.7133,24.8581,15.254,21.7874,31.329,35.5845,42.6682,38.3417,35.3498,28.7492,24.6032,15.9912,Cyclic
34.866,37.2033,37.6021,37.1155,38.9525,26.3406,26.2779,17.4786,22.8414,18.2825,24.384,32.1421,39.3936,39.6524,44.6648,37.2981,27.3327,18.2058,12.9646,21.8875,26.0695,32.6881,38.7865,46.1023,39.0817,32.1304,34.5745,16.8289,17.7765,19.4344,23.4832,33.7653,38.9598,36.9246,36.9039,32.7045,27.7873,21.3409,23.3078,16.878,26.3753,33.357,35.6636,39.8499,46.918,38.2275,37.7751,27.8586,18.6142,18.4058,21.5551,20.3103,27.1387,35.6624,42.5884,38.8837,40.4569,27.9889,26.381,17.2159,Cyclic
27.6388,41.6688,40.9344,36.8213,39.6225,33.2428,31.9644,26.2984,14.9493,16.5426,22.4119,22.6485,35.0749,32.0629,42.1071,46.5702,45.0406,31.273,26.8028,22.5754,16.326,17.9722,15.7631,27.1493,26.7165,38.901,44.9105,47.4412,37.7306,36.4598,33.008,29.3038,24.6391,18.3406,20.1702,16.4429,31.9993,36.6776,39.7713,43.6607,36.3792,37.0118,31.3474,21.299,21.1175,13.9727,16.0292,26.9176,27.0947,39.4409,42.5749,36.1273,43.0568,42.4995,35.986,25.9462,20.7706,23.2863,16.4481,24.7488,Cyclic
26.059,33.4436,38.8249,41.7848,42.5722,34.0582,30.3299,26.945,21.1241,14.6946,19.1064,16.5727,16.3218,27.062,33.3793,37.0183,42.1883,40.2596,38.4041,39.3723,31.278,23.9,20.579,10.6051,14.7531,19.2064,24.1793,31.9541,36.2601,39.3654,42.3175,37.1907,41.4338,34.219,21.4009,22.1022,22.1928,18.823,15.4352,19.2243,32.4192,42.8326,46.3957,48.1395,43.4007,40.1506,29.0284,21.1716,21.3189,11.9235,13.5061,15.7231,17.09,30.7336,34.3057,39.4032,38.3136,39.0705,42.5527,34.4024,Cyclic
29.7213,42.3627,36.3361,44.5727,34.6856,27.065,26.059,15.9149,22.3648,18.157,24.339,31.0608,34.792,39.9518,43.4183,39.8327,34.7446,27.605,19.3989,11.5428,19.5986,24.5474,32.6573,35.1199,37.6852,40.6482,41.2162,24.9769,24.8217,16.3684,19.8944,18.5372,32.067,32.8928,47.7122,47.8011,34.7605,29.6624,26.2625,17.0298,13.2058,13.035,28.2252,33.3776,35.0886,45.3628,44.5357,33.1756,32.4687,25.7023,17.382,12.8802,21.2238,28.3215,35.0303,45.8045,47.9082,44.7344,35.7092,23.9391,Cyclic
30.7425,37.9754,43.1891,42.739,39.3712,44.1962,37.6507,28.8875,18.4354,20.9146,13.3554,11.5834,18.0495,28.5362,31.8329,34.7209,42.0029,49.4517,45.422,42.4498,36.5443,26.7467,27.3971,19.4725,13.1377,21.002,17.6963,21.995,31.4431,35.5,38.2189,46.1688,41.2444,37.8473,39.7422,36.6668,19.9717,24.1381,15.0715,13.0632,12.4505,26.7096,26.7751,36.473,37.2131,43.4866,46.5014,47.9382,34.9641,30.769,20.4861,21.7675,16.6897,20.8294,17.9138,26.8031,26.095,30.9324,40.206,48.5869,Cyclic
35.7709,34.396,35.2249,46.2393,44.4036,41.0473,37.5561,26.6758,25.0044,17.2235,21.7889,23.8187,28.0992,29.2357,32.1344,43.1505,44.4259,38.6312,32.2653,34.8402,25.9655,23.7696,18.9009,12.8192,20.8196,29.5038,35.8682,39.2315,46.9979,44.0014,37.8552,41.0403,29.2411,25.4182,19.957,11.8583,22.3583,21.6046,31.2824,34.6503,44.6238,38.333,47.4585,40.0818,29.08,27.5489,17.7724,16.1624,22.6897,22.0356,23.0995,24.5427,39.3011,42.2501,36.4959,46.0779,41.5371,32.4859,30.7772,24.5854,Cyclic
