company,mcap,operating margin,net debt / ebit,roe,croic,p/fcf,revenues,ev/fcf,total_score,gross margin
0,80237921664,0.21194,-0.31514,0.41757,0.10884,12.50452,0.03407,12.39771,1.0,0.35377
1,1210301944,0.16897,-4.0668,0.22901,0.18061,22.31741,0.26287,18.93754,3.0,0.80693
2,203156739099,0.16241,1.07425,0.14407,0.10286,32.20963,0.31686,33.23019,1.0,0.55552
38,294352563602,0.27528,4.17309,0.84368,0.20261,18.80688,0.70539,22.86976,2.0,0.67205
3,7282794772,0.14191,0.2322,0.41082,0.24858,13.24261,0.34824,13.61567,2.0,0.646
39,2697212553,0.02562,-19.433,0.05915,0.13166,13.20146,1.90803,10.73901,1.0,0.91725
40,238205732894,0.15462,-0.08805,0.25651,0.2272,25.80666,0.48393,27.66035,2.0,0.32609
4,155494787,0.07324,1.91512,0.18361,0.08349,24.64657,0.30196,30.27185,nan,0.39367
5,9782136881,0.14407,-0.63173,0.17782,0.25449,17.62321,0.10042,17.12408,1.0,0.46398
41,4208172100,0.11744,2.21554,0.20838,0.19949,18.05727,0.48742,19.87563,nan,0.53481
42,2179600423,0.09151,-2.14799,0.07772,0.16677,15.66856,0.70661,15.87002,1.0,0.32276
715,43858785469,0.09381,-0.80827,0.27832,0.23085,12.30144,0.20842,11.81958,2.0,0.50701
6,4876730919,0.30013,0.21478,0.71625,0.26807,60.31534,15.59245,62.177,nan,0.4893
43,219928322000,0.35934,-0.1899,0.36851,0.30279,34.37557,0.90817,33.3685,3.0,0.88657
44,3290568218,0.17838,1.31984,0.12326,0.1115,13.37001,0.63935,15.31457,1.0,0.56164
45,10007590622,0.24294,1.08726,0.32986,0.23644,25.33398,0.57815,27.28908,nan,0.39058
7,6849450985,0.0865,3.1253,0.04096,0.03662,19.38546,0.23225,29.99079,nan,0.25393
8,36114214968,0.22903,0.77487,0.23937,0.1507,25.85804,0.23862,26.30167,2.0,0.54394
9,13123829497,0.1649,2.39324,0.10975,0.1033,14.55786,0.41522,17.66697,1.0,0.59664
10,2299868889,0.10547,0.48028,0.11729,0.18335,14.70856,0.4763,15.37843,1.0,0.25869
46,2953882598,0.1119,-1.82473,0.17115,0.08658,16.66458,0.88065,16.1484,nan,0.64954
47,2614489000,0.12268,1.51134,0.10085,0.12542,22.27332,0.73147,24.38267,nan,0.30828
48,16616278095,0.17158,-1.53331,0.11195,0.13471,44.93426,0.61009,42.15498,nan,0.69984
49,4446332920,0.29003,-1.42041,0.25799,0.22344,14.51195,0.4815,12.37102,3.0,0.8317
50,8306077957,0.11983,2.89739,0.21951,0.11735,37.22072,0.0319,49.9828,nan,0.20109
51,12006672292,0.20497,1.99555,0.3641,0.21169,20.67568,0.2924,23.15993,nan,0.43961
52,10046515244,0.30649,1.63441,0.44787,0.15454,14.35029,0.23169,16.48573,nan,0.47659
53,3141153693,0.13794,-1.04983,0.22157,0.26931,6.23733,0.2777,5.27496,nan,0.21825
54,58843045,0.07255,-1.57717,0.07593,0.06781,14.49151,0.42698,11.91543,nan,0.39285
55,2259295980000,0.30929,-0.76995,0.30011,0.18543,40.50904,1.17951,39.31912,3.0,0.57845
56,8869714162,0.04547,-9.77683,0.03926,0.06299,68.85872,0.50838,68.40021,nan,0.81293
11,2151476402347,0.09772,-0.54722,0.19243,0.09485,49.5452,1.27029,51.17142,1.0,0.48406
57,14294444367,0.09934,5.1055,0.19359,0.11735,21.1775,0.0676,32.20227,nan,0.20118
12,2947601790,0.09001,0.65312,0.06909,0.1697,14.47375,0.1881,15.85665,nan,0.20955
13,3347668304,0.08014,2.61008,0.14639,0.10696,11.61459,0.24035,15.24421,nan,0.39179
14,339362916,0.05605,-2.01184,0.03453,0.06315,11.1487,1.25551,8.91151,1.0,0.5193
15,54576514249,0.27929,-11.43384,0.61446,0.04331,7.02084,0.35347,-0.33601,nan,0.3387
16,44748783773,0.25405,1.1052,0.13945,0.12598,26.54644,0.33834,27.71466,nan,0.35406
17,6257029992,0.07184,-0.73971,0.08718,0.10383,14.51855,0.71746,14.11542,nan,0.14993
58,2097312107,0.29612,1.61586,0.21675,0.1617,12.42008,1.38609,14.39277,2.0,0.52981
18,85574404281,0.21252,1.28965,0.23012,0.22383,38.07476,0.92269,39.99977,nan,0.33441
19,104477117736,0.23156,2.47377,0.04705,0.06281,35.50183,0.56215,37.40259,1.0,0.57852
20,29691008382,0.28175,-0.77829,0.09741,0.11314,40.52941,0.7502,40.04222,nan,0.88768
59,81997359304,0.25861,4.09093,0.37174,0.17537,27.22381,0.5641,34.04255,nan,0.48084
21,8104082809,0.38033,1.96682,0.53676,0.03187,9.23122,0.58698,19.45439,1.0,0.49108
22,8303979372,0.18485,-2.35138,0.31878,0.34193,47.78984,2.02838,46.404,3.0,0.64957
60,3704443004,0.19259,6.34451,0.06218,0.06739,11.38134,0.14353,11.82263,nan,0.35812
23,3450640074440,0.3151,0.3383,1.64594,0.59516,32.17323,0.48235,32.07678,2.0,0.46206
