x.1,x.2,x.3,x.4,x.5,x.6,x.7,x.8,x.9,x.10,y
-1.149,-0.904,-1.988,0.739,-0.06,1.206,0.864,1.196,-0.3,-0.467,1
-1.093,-0.922,-2.091,0.844,0.009,1.247,0.891,1.453,-0.089,-0.4,1
-1.784,-1.074,-1.661,1.324,0.289,1.303,0.924,1.307,-0.346,-0.521,1
-2.698,-1.027,-0.94,1.796,0.392,1.33,0.866,0.781,-0.838,-0.663,1
-3.366,-0.826,-0.405,1.643,0.603,1.226,0.524,0.293,-0.858,-0.668,1
-3.312,-0.776,-0.504,1.39,0.86,1.257,0.222,0.314,-0.715,-0.765,1
-3.137,0.077,-1.157,1.589,0.204,1.898,0.17,0.676,-1.033,-0.635,1
-3.019,0.058,-1.265,1.497,0.171,1.997,0.178,0.847,-1.16,-0.548,1
-2.973,0.036,-1.273,1.519,0.195,1.98,0.131,0.832,-1.157,-0.547,1
-3.0,0.042,-1.238,1.529,0.187,2.028,0.104,0.759,-1.18,-0.634,1
-3.055,0.088,-1.217,1.562,0.186,2.059,0.054,0.639,-1.121,-0.757,1
-3.117,0.146,-1.228,1.635,0.223,2.026,0.036,0.569,-1.15,-0.767,1
-4.066,0.398,-0.382,1.679,0.121,1.617,0.504,-0.315,-0.226,-0.873,1
-4.052,0.35,-0.314,1.734,0.127,1.667,0.512,-0.377,-0.358,-0.855,1
-3.894,0.117,-0.407,1.973,0.043,1.891,0.411,-0.095,-0.436,-1.015,1
-3.676,-0.185,-0.563,2.377,0.096,1.854,0.303,0.296,-0.358,-1.205,1
-3.644,-0.215,-0.579,2.307,0.046,1.945,0.28,0.272,-0.539,-1.226,1
-3.337,-0.347,-0.79,2.129,-0.058,2.079,0.295,0.246,-0.687,-1.241,1
-2.463,-0.197,-1.264,1.15,0.234,1.833,0.066,0.738,-1.382,-0.498,1
-2.377,-0.266,-1.371,1.09,0.24,1.843,0.107,0.702,-1.256,-0.62,1
-2.382,-0.294,-1.397,1.051,0.211,1.901,0.151,0.654,-1.286,-0.609,1
-2.453,-0.32,-1.368,1.04,0.174,1.985,0.158,0.59,-1.318,-0.587,1
-2.46,-0.325,-1.404,0.928,0.122,2.049,0.274,0.532,-1.113,-0.769,1
-2.391,-0.347,-1.474,0.843,0.089,2.021,0.417,0.502,-0.86,-0.978,1
-3.415,-0.538,0.241,2.038,0.622,1.027,-0.701,-0.66,-0.418,0.781,1
-3.705,-0.204,0.274,1.569,0.883,1.366,-0.94,-0.691,-0.162,0.598,1
-3.699,-0.251,0.268,1.585,0.85,1.381,-0.867,-0.71,-0.19,0.567,1
-3.49,-0.474,0.187,1.747,0.733,1.307,-0.816,-0.787,-0.222,0.41,1
-2.852,-0.805,-0.313,1.565,0.688,1.467,-0.664,-0.916,-0.279,0.489,1
-2.527,-0.926,-0.571,1.613,0.628,1.229,-0.687,-0.808,-0.354,0.625,1
-4.711,1.166,1.244,1.746,0.311,-0.305,-0.691,-0.137,-0.288,1.023,1
-4.689,1.015,1.312,1.802,0.313,-0.405,-0.663,0.106,-0.325,0.838,1
-4.756,1.197,1.431,1.54,0.262,-0.277,-0.741,0.075,-0.26,0.876,1
-4.763,1.305,1.231,1.548,0.308,-0.152,-0.792,-0.124,-0.107,0.885,1
-4.754,1.329,1.09,1.765,0.217,-0.198,-0.782,-0.154,0.023,0.85,1
-4.687,1.152,1.089,1.915,0.201,-0.296,-0.692,-0.105,-0.143,0.884,1
-4.047,0.913,0.734,1.479,0.258,0.206,-1.117,-0.423,-0.336,0.982,1
-3.836,0.508,0.645,1.721,0.28,0.303,-0.911,-0.592,-0.631,1.023,1
-3.661,0.3,0.53,1.816,0.333,0.444,-0.858,-0.732,-0.809,0.995,1
-3.572,0.228,0.52,1.791,0.382,0.573,-0.961,-0.74,-0.936,1.007,1
-3.461,0.04,0.553,1.854,0.386,0.568,-1.003,-0.638,-1.04,1.051,1
-3.5,0.068,0.533,1.876,0.363,0.542,-0.982,-0.671,-1.006,1.101,1
-3.639,0.418,-0.67,1.779,-0.168,1.627,-0.388,0.529,-0.874,-0.814,1
-3.653,0.373,-0.6,1.705,-0.222,1.765,-0.353,0.537,-0.797,-0.813,1
-3.665,0.337,-0.641,1.791,-0.194,1.686,-0.359,0.57,-0.676,-0.841,1
-3.624,0.305,-0.708,1.758,-0.194,1.675,-0.273,0.561,-0.577,-0.843,1
-3.593,0.29,-0.782,1.707,-0.175,1.662,-0.137,0.493,-0.492,-0.926,1
-3.604,0.235,-0.836,1.786,-0.153,1.642,-0.096,0.488,-0.524,-1.003,1
-4.102,0.209,0.414,0.423,0.985,1.434,0.663,0.036,-0.784,-0.668,1
-4.275,0.162,0.728,0.662,0.94,1.269,0.711,0.073,-0.827,-0.655,1
-4.473,0.373,0.858,0.919,0.778,1.272,0.653,-0.216,-0.891,-0.627,1
-4.477,0.246,1.087,1.108,0.682,1.057,0.424,-0.264,-1.195,-0.52,1
-4.314,-0.106,1.044,1.192,0.687,0.763,0.158,-0.193,-1.342,-0.447,1
-4.158,-0.342,0.9,1.09,0.56,0.955,0.395,-0.328,-1.52,-0.498,1
-1.202,-0.253,-2.487,0.809,-0.367,2.169,0.32,1.034,-1.385,-0.706,1
-1.298,-0.295,-2.433,0.955,-0.278,2.252,0.285,0.915,-1.569,-0.562,1
-1.393,-0.305,-2.29,1.1,-0.254,2.327,0.363,0.795,-1.521,-0.756,1
-1.417,-0.319,-2.254,1.072,-0.221,2.268,0.43,0.923,-1.486,-0.698,1
-1.384,-0.321,-2.266,0.937,-0.289,2.29,0.463,1.096,-1.436,-0.701,1
-1.215,-0.288,-2.423,0.834,-0.379,2.266,0.503,1.337,-1.36,-0.682,1
-1.548,-0.4,-1.659,0.244,-0.101,1.562,0.551,1.248,0.129,-0.456,1
-1.507,-0.457,-1.728,0.256,-0.081,1.571,0.556,1.291,0.121,-0.456,1
-1.656,-0.496,-1.719,0.363,-0.002,1.637,0.535,1.319,-0.012,-0.49,1
-1.823,-0.578,-1.624,0.52,0.052,1.711,0.535,1.318,-0.115,-0.505,1
-1.953,-0.596,-1.543,0.619,0.056,1.742,0.592,1.289,-0.163,-0.523,1
-2.058,-0.61,-1.497,0.696,0.072,1.802,0.626,1.303,-0.192,-0.538,1
-3.034,-1.274,0.263,1.521,0.66,1.622,-0.361,-0.468,-0.74,0.517,1
-3.162,-1.137,0.3,1.44,0.688,1.645,-0.447,-0.518,-0.52,0.641,1
-3.39,-0.956,0.476,1.547,0.658,1.504,-0.65,-0.604,-0.295,0.616,1
-3.485,-0.86,0.582,1.501,0.578,1.48,-0.663,-0.602,-0.318,0.575,1
-3.689,-0.599,0.692,1.307,0.605,1.514,-0.752,-0.697,-0.355,0.702,1
-3.693,-0.568,0.727,1.236,0.612,1.502,-0.804,-0.763,-0.346,0.788,1
-3.322,-0.303,-0.5,0.963,0.921,0.981,1.059,-1.079,-1.004,0.112,1
-3.268,-0.079,-0.693,0.763,1.043,1.194,0.892,-1.293,-1.033,0.199,1
-3.347,-0.159,-0.414,0.922,0.973,0.978,0.929,-1.211,-1.268,0.278,1
-3.594,-0.137,-0.028,1.018,1.069,0.723,0.695,-0.982,-1.433,0.249,1
-3.781,-0.011,0.102,1.115,1.036,0.651,0.615,-1.082,-1.272,0.05,1
-3.858,0.115,0.05,1.17,0.975,0.703,0.585,-1.191,-1.172,-0.076,1
-3.208,-0.608,-0.516,1.098,1.529,1.069,0.186,-0.947,-0.248,-0.059,1
-3.431,-0.5,-0.362,1.173,1.59,0.956,0.162,-0.853,-0.364,0.084,1
-3.586,-0.38,-0.359,1.307,1.587,0.99,0.18,-0.831,-0.471,0.198,1
-3.76,-0.32,-0.24,1.273,1.751,1.125,0.23,-0.723,-0.501,0.315,1
-4.247,-0.034,0.248,1.372,1.831,1.167,0.087,-0.518,-0.316,0.347,1
-4.687,0.406,0.889,1.464,1.618,1.021,-0.121,-0.398,-0.307,0.293,1
