x.1,x.2,x.3,x.4,x.5,x.6,x.7,x.8,x.9,x.10,x.11,x.12,x.13,x.14,x.15,x.16,x.17,x.18,x.19,x.20,x.21,y
0.1555,0.8414,-0.9238,0.8093,-0.9513,0.5331,0.3501,0.6635,-0.0463,3.7158,3.2151,3.1067,2.4761,5.2898,6.0475,4.2094,2.5708,2.6275,1.2967,2.7669,-0.5273,1
-0.4743,1.5722,-0.0193,-0.59,-0.0871,1.8376,1.9953,2.5672,3.3855,4.1056,5.6628,3.5443,4.0932,3.5865,1.036,1.7824,-0.1118,-1.4696,0.5315,1.1571,-0.3272,1
-0.2685,1.2335,0.2845,0.9,1.0047,1.6812,2.2801,1.1448,1.3021,3.0923,4.3541,2.9459,3.29,3.4468,3.7205,4.9039,2.2224,1.2641,0.8361,-0.0512,1.3458,1
-0.6389,-0.68,-0.069,0.0951,-0.1198,2.4547,1.7457,1.5416,3.8828,4.0812,5.9808,5.8626,2.4952,3.306,3.837,3.7536,1.0403,-0.8097,0.6249,-1.0093,1.6222,1
-0.4268,2.4483,0.1716,-2.9643,0.5125,-0.4776,0.0796,-0.9154,0.5788,1.133,5.1419,4.9693,5.0488,4.4374,4.392,2.5718,3.4984,-0.7246,0.9449,-0.2745,1.1037,1
0.1548,-0.6626,0.6272,0.6343,3.052,0.2185,0.3314,-2.1562,-0.0626,0.4975,3.7407,2.4117,3.2633,5.3994,6.8102,5.9584,5.8775,2.4221,2.9893,3.2464,0.2881,1
-0.3023,-0.9102,0.6698,0.4745,0.6179,0.89,0.407,-0.417,2.5999,4.1679,2.9882,4.238,5.1574,4.2853,5.4684,3.1979,2.0656,0.5278,1.5791,-1.346,0.5164,1
-0.8939,0.9588,1.5264,-0.4428,0.6642,-0.926,1.4525,2.3418,2.447,4.337,6.1208,2.6488,3.6351,4.9103,2.8275,2.4264,0.494,1.8375,0.8638,-0.849,-0.6082,1
0.5018,0.4453,0.2432,-0.6861,-0.8065,1.3497,1.7936,3.2539,2.1296,4.2087,5.5445,2.7227,4.7404,3.8349,2.8225,2.1156,2.59,0.5031,0.5674,1.3761,-0.5874,1
1.263,-0.5731,-0.0953,-0.0819,1.4251,-0.5604,0.8048,-0.4375,0.0995,2.7108,2.8363,2.5679,3.8661,2.5714,4.9425,3.3524,2.8993,2.5354,1.8368,1.3254,0.0219,1
2.7039,0.3281,1.4876,0.1735,-0.0208,2.2139,-0.9784,1.0334,0.1252,3.0838,2.8251,5.9261,1.6315,6.4851,5.967,3.3964,4.8149,1.9581,0.9387,-0.3314,1.7556,1
1.1879,-2.2673,1.1244,0.5863,-0.1648,0.1395,-0.3511,1.6464,0.588,2.1599,1.1565,4.6639,3.6276,3.8522,6.3814,4.5788,4.0165,0.9743,1.2265,2.4884,-0.2619,1
-1.4153,-0.6752,-1.0355,-1.2193,0.8016,1.902,2.563,1.6819,4.3146,5.7276,5.046,6.5243,2.6871,4.0231,2.8777,0.268,-0.3287,-0.8587,0.9047,0.136,-0.2131,1
0.2975,-0.1721,0.4143,-0.645,-0.6774,2.4912,1.995,2.2331,4.9894,5.6707,6.4126,5.3509,4.8109,3.2494,3.1159,-0.4774,0.4336,-0.807,-1.4372,-0.1997,-0.322,1
0.095,-1.3694,-0.6335,0.7942,0.1364,0.0746,0.775,-0.0238,1.8299,1.9332,5.6227,3.771,1.2466,4.6634,3.1193,2.2797,3.2612,3.0471,0.4799,-0.8395,1.3771,1
1.3633,0.8704,-0.8485,0.0727,-0.9544,1.0464,1.1016,2.5848,3.2534,4.0065,5.0005,4.9857,4.1556,3.6371,2.1139,2.4275,0.5435,0.3546,-0.7348,-0.3322,-0.2211,1
-2.0424,-1.4885,-0.0715,-0.9672,1.1254,-0.4389,1.2362,3.906,3.3709,4.5178,4.991,4.1489,4.8428,2.3897,3.1175,3.3981,-0.1179,1.2439,-0.5103,-1.1727,0.4768,1
-0.7924,1.0994,0.1632,0.4535,1.4192,-1.3448,0.3061,0.3903,1.3383,0.895,0.3869,3.4256,3.7074,5.8789,5.0254,3.3273,1.5382,2.4559,1.2118,-0.3617,-2.6267,1
1.5162,0.0508,2.8166,1.0646,0.4943,0.8148,0.4528,2.2276,0.95,1.7807,4.7286,4.4887,3.7512,3.6707,3.1052,3.6612,1.7378,1.1001,2.6418,0.5069,0.0713,1
-0.4525,1.4547,-1.0893,-0.0372,-1.6123,0.6097,1.1491,3.1157,2.801,3.2633,4.9456,4.3584,4.4317,3.2016,2.2659,1.0946,1.1639,-1.3954,-1.8804,0.0631,-0.578,1
2.0276,0.0881,0.1,-1.4243,-0.6247,1.2274,2.1139,2.6828,3.3257,5.2425,4.0694,5.8184,5.3256,2.6949,3.7916,1.1408,0.3924,1.2441,1.8212,0.4212,0.6074,1
1.1789,0.9435,-0.8978,0.4988,-0.8997,1.6467,-0.745,1.4023,2.1297,3.1741,3.035,5.6994,4.0635,2.8795,5.6956,4.4496,1.5088,1.3831,0.3964,-0.0026,2.0246,1
-0.1988,1.0948,1.6113,0.6085,-0.3019,0.9992,2.6709,2.4218,1.4301,1.7083,4.6608,5.2485,3.4798,2.8272,3.9872,3.7147,3.866,2.4383,-0.6268,0.9662,-1.8089,1
0.8104,2.0795,-0.1386,0.441,0.1437,-0.2992,1.6959,-0.1373,0.7212,1.4959,4.5695,2.8981,5.1926,5.4797,3.2043,3.4949,2.2444,3.7574,1.4476,0.9497,-2.0144,1
0.4469,-0.3704,0.9001,-0.3941,0.5035,-0.6949,0.7005,-2.0232,2.085,4.2825,4.6207,2.9708,4.4809,3.5783,4.7265,3.4801,3.1518,1.231,1.8229,0.3065,0.5524,1
0.1795,0.6063,0.9649,1.4859,0.8263,-0.5783,1.6689,1.4802,0.4292,2.3952,3.4374,3.7415,3.6337,6.4965,3.9598,1.942,1.3487,-0.2764,1.1178,1.6961,0.8183,1
0.3266,2.066,1.2683,-0.4706,-2.1376,0.3216,0.8963,2.0251,0.0455,2.9644,5.4433,3.1565,4.946,3.8103,4.5771,2.7094,1.7312,1.7608,0.7542,1.6885,-0.07,1
1.6301,-0.327,-1.6637,0.4496,-0.4723,2.2189,-0.9676,2.1557,2.3573,2.5873,5.3631,4.3181,5.3963,3.3252,3.7614,4.3451,3.4225,1.3384,0.5724,-0.7716,0.606,1
0.6593,0.1078,-0.0115,0.6503,1.7163,0.7043,2.8075,-0.1841,2.6482,2.4423,3.1271,2.0395,5.0555,5.1527,7.5614,2.6994,3.3772,1.8415,1.8591,1.6566,-0.4853,1
1.8829,0.3129,1.2508,-0.9483,-1.5325,1.1655,0.7608,1.9409,3.0786,3.6138,3.3404,4.5471,2.9349,3.1962,2.8428,1.4848,2.7175,0.1213,1.8906,-0.5579,-1.1568,1
1.3359,-1.1486,1.4085,-0.5357,0.7131,0.5713,0.9523,0.7649,2.1992,2.9531,4.1903,2.343,4.7383,3.6874,3.9871,4.2617,1.7346,2.4884,3.0494,1.2143,0.494,1
0.0226,0.2346,-1.1625,-0.9871,0.4764,-1.2014,0.4461,0.5133,3.5437,2.5548,4.2705,3.5249,3.3241,3.0758,5.077,2.2156,4.4391,2.997,1.7694,-0.1547,-0.428,1
0.5178,-0.8796,-0.5386,-1.8349,0.0024,-0.0955,0.976,1.4821,1.1095,2.4874,2.4727,3.2735,3.1003,2.6464,3.5345,5.1929,3.3316,2.8736,0.0177,0.4153,-2.8292,1
