dataset,pre processing,algorithm,time,balanced accuracy,balanced accuracy std,f1 score,f1 score std,roc auc,roc auc std,geometric mean,geometric mean std,cohen kappa,cohen kappa std,multiclass precision macro,multiclass precision macro std,multiclass recall macro,multiclass recall macro std,multiclass f1 weighted,multiclass f1 weighted std,multiclass matthews corrcoef,multiclass matthews corrcoef std,final score
wall-robot-navigation.csv,RandomOverSampler,GradientBoostingClassifier,40.697,,,,,,,,,,,0.998,0.003,0.997,0.003,0.998,0.002,0.997,0.003,0.998
wall-robot-navigation.csv,SMOTE,GradientBoostingClassifier,53.952,,,,,,,,,,,0.998,0.003,0.997,0.004,0.998,0.002,0.997,0.003,0.998
wall-robot-navigation.csv,SMOTETomek,GradientBoostingClassifier,54.582,,,,,,,,,,,0.998,0.003,0.997,0.004,0.998,0.002,0.996,0.003,0.997
wall-robot-navigation.csv,TomekLinks,GradientBoostingClassifier,28.378,,,,,,,,,,,0.997,0.003,0.993,0.006,0.996,0.003,0.994,0.004,0.995
wall-robot-navigation.csv,SMOTE,BalancedBaggingClassifier,3.083,,,,,,,,,,,0.994,0.005,0.994,0.005,0.995,0.004,0.993,0.006,0.994
wall-robot-navigation.csv,TomekLinks,BaggingClassifier,1.366,,,,,,,,,,,0.994,0.005,0.995,0.004,0.995,0.003,0.993,0.004,0.994
wall-robot-navigation.csv,RandomOverSampler,BalancedRandomForestClassifier,5.46,,,,,,,,,,,0.994,0.004,0.993,0.004,0.995,0.003,0.992,0.004,0.994
wall-robot-navigation.csv,RandomOverSampler,BalancedBaggingClassifier,2.178,,,,,,,,,,,0.994,0.004,0.994,0.005,0.995,0.002,0.992,0.004,0.994
wall-robot-navigation.csv,SMOTE,BaggingClassifier,2.323,,,,,,,,,,,0.994,0.005,0.993,0.006,0.995,0.003,0.992,0.005,0.994
wall-robot-navigation.csv,RandomUnderSampler,GradientBoostingClassifier,7.756,,,,,,,,,,,0.991,0.006,0.995,0.004,0.994,0.004,0.991,0.006,0.993
wall-robot-navigation.csv,SMOTE,BalancedRandomForestClassifier,9.22,,,,,,,,,,,0.993,0.003,0.992,0.005,0.994,0.002,0.991,0.003,0.993
wall-robot-navigation.csv,RandomOverSampler,RandomForestClassifier,5.869,,,,,,,,,,,0.993,0.004,0.992,0.006,0.994,0.003,0.991,0.004,0.993
wall-robot-navigation.csv,RandomOverSampler,BaggingClassifier,1.615,,,,,,,,,,,0.993,0.004,0.993,0.006,0.994,0.003,0.992,0.004,0.993
wall-robot-navigation.csv,SMOTE,RandomForestClassifier,5.038,,,,,,,,,,,0.992,0.004,0.991,0.006,0.993,0.003,0.99,0.004,0.992
wall-robot-navigation.csv,SMOTETomek,BaggingClassifier,2.876,,,,,,,,,,,0.992,0.004,0.991,0.005,0.993,0.003,0.99,0.004,0.992
wall-robot-navigation.csv,SMOTETomek,BalancedBaggingClassifier,3.667,,,,,,,,,,,0.992,0.004,0.991,0.005,0.993,0.003,0.99,0.004,0.992
thyroid-ann.csv,RandomOverSampler,BalancedRandomForestClassifier,2.407,,,,,,,,,,,0.981,0.019,0.999,0.003,0.998,0.002,0.986,0.013,0.991
wall-robot-navigation.csv,TomekLinks,RandomForestClassifier,3.095,,,,,,,,,,,0.993,0.004,0.988,0.006,0.993,0.003,0.989,0.004,0.991
wall-robot-navigation.csv,SMOTETomek,RandomForestClassifier,6.35,,,,,,,,,,,0.992,0.004,0.991,0.006,0.993,0.003,0.989,0.004,0.991
wall-robot-navigation.csv,SMOTETomek,BalancedRandomForestClassifier,7.514,,,,,,,,,,,0.991,0.004,0.99,0.005,0.992,0.003,0.989,0.004,0.991
thyroid-ann.csv,RandomOverSampler,RandomForestClassifier,1.923,,,,,,,,,,,0.979,0.021,0.998,0.007,0.998,0.003,0.983,0.018,0.99
wall-robot-navigation.csv,EditedNearestNeighbours,GradientBoostingClassifier,22.128,,,,,,,,,,,0.992,0.005,0.988,0.007,0.991,0.004,0.987,0.005,0.99
thyroid-ann.csv,RandomOverSampler,GradientBoostingClassifier,8.288,,,,,,,,,,,0.981,0.021,0.996,0.009,0.998,0.002,0.983,0.016,0.99
thyroid-ann.csv,SMOTETomek,GradientBoostingClassifier,15.177,,,,,,,,,,,0.982,0.018,0.993,0.013,0.998,0.002,0.983,0.013,0.989
thyroid-ann.csv,ADASYN,RandomForestClassifier,2.34,,,,,,,,,,,0.977,0.021,0.997,0.009,0.997,0.002,0.983,0.015,0.989
