dataset,num_combinations,recommended_preproc,recommended_algorithm,recommended_score,best_preproc,best_algorithm,best_score,delta_score,rank,percentile_rank,is_top_1,is_top_3,is_top_5,recommendation_time_s,delta_balanced_accuracy,delta_f1_score,delta_roc_auc,best_balanced_accuracy,rec_balanced_accuracy,best_f1_score,rec_f1_score,best_roc_auc,rec_roc_auc
poker-8-9_vs_6.dat,12,SMOTE,GradientBoostingClassifier,0.889,SMOTE,XGBClassifier,0.921,-0.032,4,66.67,False,False,True,0.07,0.023,-0.103,-0.001,0.922,0.945,0.89,0.787,0.993,0.992
kr-vs-k-zero-one_vs_draw.dat,12,RandomOverSampler,GradientBoostingClassifier,0.966,SMOTE,XGBClassifier,0.972,-0.006,5,58.33,False,False,True,0.053,0.009,-0.022,-0.001,0.988,0.997,0.942,0.92,1.0,0.999
kr-vs-k-zero_vs_eight.dat,12,SMOTE,XGBClassifier,0.964,RandomOverSampler,GradientBoostingClassifier,0.987,-0.023,12,0.0,False,False,False,0.0391,-0.025,-0.032,-0.002,0.999,0.974,0.97,0.938,1.0,0.998
kr-vs-k-three_vs_eleven.dat,12,SVMSMOTE,XGBClassifier,0.994,RandomOverSampler,LGBMClassifier,0.994,0.0,3,75.0,False,True,True,0.0578,0.002,-0.003,0.0,0.996,0.998,0.99,0.987,1.0,1.0
dermatology-6.dat,12,SMOTE,XGBClassifier,0.991,RandomOverSampler,XGBClassifier,0.991,0.0,6,50.0,False,False,False,0.0461,0.0,0.0,0.0,0.999,0.999,0.98,0.98,0.999,0.999
car-vgood.dat,12,SVMSMOTE,XGBClassifier,0.994,RandomOverSampler,XGBClassifier,0.997,-0.003,4,66.67,False,False,True,0.0314,-0.003,-0.005,0.0,1.0,0.997,0.993,0.988,1.0,1.0
abalone-21_vs_8.dat,12,SMOTETomek,LGBMClassifier,0.69,SVMSMOTE,GradientBoostingClassifier,0.746,-0.056,9,25.0,False,False,False,0.0297,-0.016,-0.148,0.056,0.845,0.829,0.647,0.499,0.859,0.915
kr-vs-k-zero_vs_fifteen.dat,12,RandomOverSampler,LGBMClassifier,0.988,SVMSMOTE,XGBClassifier,0.998,-0.01,9,25.0,False,False,False,0.0426,-0.006,-0.018,0.0,1.0,0.994,0.995,0.977,1.0,1.0
poker-8_vs_6.dat,12,SMOTE,XGBClassifier,0.838,SMOTE,GradientBoostingClassifier,0.954,-0.116,6,50.0,False,False,False,0.0955,-0.091,-0.15,-0.014,0.974,0.883,0.921,0.771,0.997,0.983
eucalyptus (id:990),12,SMOTETomek,LGBMClassifier,0.732,SMOTETomek,GradientBoostingClassifier,0.746,-0.014,5,58.33,False,False,True,0.0599,-0.017,-0.003,-0.004,0.767,0.75,0.833,0.83,0.849,0.845
colleges_aaup (id:897),12,SMOTETomek,LGBMClassifier,0.977,SMOTE,GradientBoostingClassifier,0.978,-0.001,7,41.67,False,False,False,0.0926,-0.001,-0.001,0.0,0.979,0.978,0.972,0.971,0.999,0.999
dermatology (id:1010),12,SVMSMOTE,LGBMClassifier,0.988,RandomOverSampler,LGBMClassifier,0.996,-0.008,6,50.0,False,False,False,0.0417,-0.008,-0.006,0.0,0.996,0.988,0.997,0.991,1.0,1.0
autos (id:975),12,SVMSMOTE,LGBMClassifier,0.923,SMOTETomek,LGBMClassifier,0.927,-0.004,3,75.0,False,True,True,0.0506,-0.003,-0.003,0.0,0.93,0.927,0.955,0.952,0.968,0.968
arsenic-female-lung (id:950),12,RandomOverSampler,LGBMClassifier,0.814,RandomOverSampler,LGBMClassifier,0.814,0.0,1,91.67,True,True,True,0.1129,0.0,0.0,0.0,0.871,0.871,0.734,0.734,0.903,0.903
optdigits (id:980),12,SVMSMOTE,GradientBoostingClassifier,0.968,SVMSMOTE,XGBClassifier,0.985,-0.017,12,0.0,False,False,False,0.052,-0.022,-0.003,-0.002,0.979,0.957,0.997,0.994,0.999,0.997
analcatdata_apnea1 (id:767),12,RandomOverSampler,GradientBoostingClassifier,0.842,RandomOverSampler,GradientBoostingClassifier,0.842,0.0,1,91.67,True,True,True,0.0899,0.0,0.0,0.0,0.899,0.899,0.749,0.749,0.96,0.96
oil_spill (id:311),12,SMOTETomek,LGBMClassifier,0.7,SMOTETomek,GradientBoostingClassifier,0.734,-0.034,10,16.67,False,False,False,0.1214,-0.053,-0.029,0.007,0.812,0.759,0.58,0.551,0.938,0.945
segment (id:958),12,SVMSMOTE,XGBClassifier,0.994,SVMSMOTE,GradientBoostingClassifier,0.995,-0.001,8,33.33,False,False,False,0.0961,-0.001,0.0,-0.001,0.995,0.994,0.998,0.998,1.0,0.999
mfeat-zernike (id:995),12,SVMSMOTE,GradientBoostingClassifier,0.978,SVMSMOTE,XGBClassifier,0.981,-0.003,7,41.67,False,False,False,0.0403,0.0,-0.001,0.0,0.981,0.981,0.995,0.994,0.996,0.996
Satellite (id:40900),12,SMOTETomek,XGBClassifier,0.843,SMOTETomek,LGBMClassifier,0.846,-0.003,5,58.33,False,False,True,0.0355,0.008,-0.015,-0.003,0.875,0.883,0.752,0.737,0.993,0.99
analcatdata_apnea2 (id:765),12,RandomOverSampler,GradientBoostingClassifier,0.896,RandomOverSampler,GradientBoostingClassifier,0.896,0.0,2,83.33,False,True,True,0.0395,0.0,0.0,0.0,0.936,0.936,0.833,0.833,0.972,0.972
climate-model-simulation-crashes (id:40994),12,RandomOverSampler,XGBClassifier,0.826,SVMSMOTE,XGBClassifier,0.835,-0.009,4,66.67,False,False,True,0.0486,-0.015,0.002,-0.01,0.816,0.801,0.97,0.972,0.954,0.944
car-good.dat,12,RandomOverSampler,XGBClassifier,0.895,RandomOverSampler,LGBMClassifier,0.924,-0.029,3,75.0,False,True,True,0.0337,-0.017,-0.051,-0.003,0.972,0.955,0.843,0.792,0.997,0.994
page-blocks0.dat,12,SVMSMOTE,XGBClassifier,0.919,RandomOverSampler,XGBClassifier,0.927,-0.008,12,0.0,False,False,False,0.0325,0.001,-0.019,0.0,0.946,0.947,0.883,0.864,0.99,0.99
glass1.dat,12,RandomOverSampler,XGBClassifier,0.768,SMOTE,XGBClassifier,0.779,-0.011,5,58.33,False,False,True,0.0278,-0.011,-0.017,0.005,0.812,0.801,0.758,0.741,0.892,0.897
regime_alimentaire (id:42172),12,SMOTETomek,LGBMClassifier,0.903,SVMSMOTE,LGBMClassifier,0.927,-0.024,11,8.33,False,False,False,0.0339,-0.017,-0.037,-0.004,0.949,0.932,0.899,0.862,0.973,0.969
primary-tumor (id:1003),12,RandomOverSampler,GradientBoostingClassifier,0.738,SMOTE,GradientBoostingClassifier,0.795,-0.057,10,16.67,False,False,False,0.0475,-0.048,-0.034,-0.038,0.802,0.754,0.925,0.891,0.872,0.834
ada_prior (id:1037),12,RandomOverSampler,GradientBoostingClassifier,0.754,RandomOverSampler,LGBMClassifier,0.755,-0.001,2,83.33,False,True,True,0.0387,0.005,-0.005,0.003,0.807,0.812,0.689,0.684,0.9,0.903
