dataset,num_combinations,recommended_preproc,recommended_algorithm,recommended_score,best_preproc,best_algorithm,best_score,delta_score,rank,percentile_rank,is_top_1,is_top_3,is_top_5,best_top3_preproc,best_top3_algorithm,best_top3_score,best_top3_delta,best_top3_rank,best_top3_percentile,best_top3_is_top_1,best_top3_is_top_3,best_top3_is_top_5,recommendation_time_s,delta_multiclass_precision_macro,delta_multiclass_recall_macro,delta_multiclass_f1_weighted,best_multiclass_precision_macro,rec_multiclass_precision_macro,best_multiclass_recall_macro,rec_multiclass_recall_macro,best_multiclass_f1_weighted,rec_multiclass_f1_weighted
waveform.csv,56,ADASYN,BalancedRandomForestClassifier,0.786,SMOTETomek,RandomForestClassifier,0.807,-0.021,15.0,72.22,False,False,False,ADASYN,GradientBoostingClassifier,0.792,-0.015,12.0,77.78,False,False,False,0.0271,-0.031,-0.011,-0.016,0.829,0.798,0.801,0.79,0.859,0.843
vowel.csv,56,RandomOverSampler,GradientBoostingClassifier,0.724,ADASYN,RandomForestClassifier,0.812,-0.088,16.0,71.43,False,False,False,ADASYN,GradientBoostingClassifier,0.745,-0.067,13.0,76.79,False,False,False,0.0228,-0.093,-0.093,-0.077,0.815,0.722,0.793,0.7,0.825,0.748
vehicle.csv,56,SMOTE,GradientBoostingClassifier,0.748,ADASYN,BalancedRandomForestClassifier,0.757,-0.009,9.0,83.33,False,False,False,ADASYN,GradientBoostingClassifier,0.756,-0.001,2.0,96.3,False,True,True,0.0231,-0.011,-0.008,-0.006,0.736,0.725,0.722,0.714,0.826,0.82
texture.csv,48,ADASYN,BalancedRandomForestClassifier,,SMOTE,RandomForestClassifier,0.967,,,,False,False,False,SMOTE,BalancedRandomForestClassifier,0.966,-0.001,3.0,93.75,False,True,True,0.0225,,,,0.969,,0.966,,0.968,
synthetic_control.csv,56,ADASYN,RandomForestClassifier,0.957,ADASYN,RandomForestClassifier,0.957,0.0,1.0,98.21,True,True,True,ADASYN,RandomForestClassifier,0.957,0.0,1.0,98.21,True,True,True,0.0231,0.0,0.0,0.0,0.964,0.964,0.947,0.947,0.963,0.963
students_dropout_and_academic_success.csv,56,RandomOverSampler,RandomForestClassifier,0.719,SMOTE,BalancedRandomForestClassifier,0.72,-0.001,3.0,94.55,False,True,True,RandomOverSampler,BalancedRandomForestClassifier,0.72,0.0,2.0,96.36,False,True,True,0.0225,-0.005,0.002,-0.001,0.756,0.751,0.676,0.678,0.802,0.801
splice.csv,56,SMOTE,BalancedRandomForestClassifier,0.922,TomekLinks,GradientBoostingClassifier,0.943,-0.021,16.0,71.43,False,False,False,RandomOverSampler,BalancedRandomForestClassifier,0.932,-0.011,6.0,89.29,False,False,False,0.0225,0.006,-0.047,-0.016,0.939,0.945,0.951,0.904,0.96,0.944
segment.csv,48,TomekLinks,RandomForestClassifier,0.972,SMOTE,RandomForestClassifier,0.976,-0.004,9.0,81.25,False,False,False,TomekLinks,RandomForestClassifier,0.972,-0.004,9.0,81.25,False,False,False,0.0226,-0.004,-0.005,-0.004,0.975,0.971,0.973,0.968,0.981,0.977
satimage.csv,56,RandomOverSampler,GradientBoostingClassifier,0.885,ADASYN,BalancedRandomForestClassifier,0.902,-0.017,17.0,69.64,False,False,False,TomekLinks,RandomForestClassifier,0.894,-0.008,9.0,83.93,False,False,False,0.0238,-0.02,-0.017,-0.014,0.895,0.875,0.893,0.876,0.923,0.909
optdigits.csv,48,SMOTE,RandomForestClassifier,0.973,SMOTETomek,RandomForestClassifier,0.973,0.0,3.0,93.75,False,True,True,SMOTE,RandomForestClassifier,0.973,0.0,3.0,93.75,False,True,True,0.0226,0.0,0.0,0.0,0.974,0.974,0.97,0.97,0.975,0.975
mfeat-morphological.csv,56,SMOTE,GradientBoostingClassifier,0.711,TomekLinks,BalancedRandomForestClassifier,0.737,-0.026,19.0,65.45,False,False,False,ADASYN,GradientBoostingClassifier,0.718,-0.019,11.0,80.0,False,False,False,0.0224,-0.032,-0.026,-0.022,0.728,0.696,0.71,0.684,0.769,0.747
maternal_health_risk.csv,56,ADASYN,BalancedRandomForestClassifier,0.784,ADASYN,BalancedRandomForestClassifier,0.784,0.0,1.0,98.18,True,True,True,ADASYN,BalancedRandomForestClassifier,0.784,0.0,1.0,98.18,True,True,True,0.0256,0.0,0.0,0.0,0.792,0.792,0.781,0.781,0.845,0.845
led7.csv,56,RandomOverSampler,GradientBoostingClassifier,0.725,SMOTETomek,GradientBoostingClassifier,0.728,-0.003,15.0,73.21,False,False,False,SMOTE,GradientBoostingClassifier,0.726,-0.002,9.0,83.93,False,False,False,0.0242,-0.006,0.002,-0.004,0.729,0.723,0.737,0.739,0.742,0.738
jungle_chess_2pcs_endgame_lion_elephant.csv,56,SMOTETomek,RandomForestClassifier,0.994,RandomOverSampler,GradientBoostingClassifier,0.997,-0.003,14.0,74.07,False,False,False,SMOTETomek,RandomForestClassifier,0.994,-0.003,14.0,74.07,False,False,False,0.0234,-0.004,-0.003,-0.002,0.997,0.993,0.997,0.994,0.998,0.996
hepatitis_c_virus_hcv_for_egyptian_patients.csv,56,SMOTE,BaggingClassifier,0.319,ADASYN,GradientBoostingClassifier,0.337,-0.018,25.0,53.7,False,False,False,ADASYN,BalancedRandomForestClassifier,0.329,-0.008,10.0,81.48,False,False,False,0.0231,0.012,0.012,-0.004,0.236,0.248,0.238,0.25,0.408,0.404
eucalyptus.csv,56,SMOTETomek,RUSBoostClassifier,0.494,ADASYN,BalancedRandomForestClassifier,0.578,-0.084,30.0,44.44,False,False,False,SMOTETomek,EasyEnsembleClassifier,0.515,-0.063,20.0,62.96,False,False,False,0.0234,-0.077,-0.057,-0.091,0.61,0.533,0.536,0.479,0.638,0.547
cmc.csv,56,ADASYN,GradientBoostingClassifier,0.498,SMOTE,GradientBoostingClassifier,0.506,-0.008,12.0,77.78,False,False,False,ADASYN,GradientBoostingClassifier,0.498,-0.008,12.0,77.78,False,False,False,0.0235,-0.012,-0.01,-0.007,0.477,0.465,0.468,0.458,0.63,0.623
autoUniv-au6-1000.csv,56,SMOTE,BaggingClassifier,0.167,RandomOverSampler,GradientBoostingClassifier,0.208,-0.041,33.0,38.89,False,False,False,ADASYN,BalancedRandomForestClassifier,0.196,-0.012,4.0,92.59,False,False,True,0.0235,-0.038,-0.03,-0.065,0.188,0.15,0.187,0.157,0.263,0.198
abalone.csv,56,ADASYN,BalancedRandomForestClassifier,0.612,SMOTETomek,BalancedRandomForestClassifier,0.632,-0.02,20.0,63.64,False,False,False,SMOTE,BalancedRandomForestClassifier,0.627,-0.005,11.0,80.0,False,False,False,0.0249,-0.031,-0.014,-0.017,0.623,0.592,0.636,0.622,0.728,0.711
Student_Performance_on_an_Entrance_Examination.csv,56,RandomOverSampler,RandomForestClassifier,0.49,SMOTETomek,GradientBoostingClassifier,0.51,-0.02,6.0,88.89,False,False,False,RandomOverSampler,BalancedRandomForestClassifier,0.495,-0.015,4.0,92.59,False,False,True,0.0228,-0.034,-0.011,-0.017,0.54,0.506,0.486,0.475,0.587,0.57
Multiclass_Classification_for_Corporate_Credit_Ratings.csv,56,SMOTE,GradientBoostingClassifier,0.707,RandomOverSampler,RandomForestClassifier,0.74,-0.033,7.0,87.04,False,False,False,RandomOverSampler,GradientBoostingClassifier,0.739,-0.001,3.0,94.44,False,True,True,0.0234,-0.05,-0.004,-0.036,0.763,0.713,0.734,0.73,0.749,0.713
Mobile_Price.csv,56,RandomOverSampler,GradientBoostingClassifier,0.85,SMOTE,GradientBoostingClassifier,0.86,-0.01,3.0,94.64,False,True,True,SMOTETomek,GradientBoostingClassifier,0.858,-0.002,2.0,96.43,False,True,True,0.0244,-0.011,-0.014,-0.007,0.856,0.845,0.848,0.834,0.898,0.891
JapaneseVowels.csv,56,ADASYN,BalancedRandomForestClassifier,0.963,SMOTE,BalancedRandomForestClassifier,0.964,-0.001,4.0,92.73,False,False,True,SMOTE,BalancedRandomForestClassifier,0.964,0.0,1.0,98.18,True,True,True,0.024,-0.002,-0.001,0.0,0.965,0.963,0.961,0.96,0.967,0.967
GesturePhaseSegmentationProcessed.csv,48,RandomOverSampler,BalancedRandomForestClassifier,0.62,ADASYN,RandomForestClassifier,0.622,-0.002,2.0,95.74,False,True,True,RandomOverSampler,BalancedRandomForestClassifier,0.62,-0.002,2.0,95.74,False,True,True,0.0254,0.057,-0.062,-0.007,0.613,0.67,0.635,0.573,0.679,0.672
Estimation_of_Obesity_Levels.csv,56,SMOTE,RandomForestClassifier,0.919,RandomOverSampler,GradientBoostingClassifier,0.94,-0.021,7.0,87.27,False,False,False,SMOTE,RandomForestClassifier,0.919,-0.021,7.0,87.27,False,False,False,0.0305,-0.021,-0.022,-0.018,0.945,0.924,0.932,0.91,0.948,0.93
CPMP-2015-classification.csv,56,ADASYN,BalancedRandomForestClassifier,0.545,SMOTETomek,RUSBoostClassifier,0.593,-0.048,35.0,35.19,False,False,False,RandomOverSampler,BalancedRandomForestClassifier,0.552,-0.041,31.0,42.59,False,False,False,0.0236,-0.094,-0.044,-0.025,0.629,0.535,0.561,0.517,0.667,0.642
