dataset,num_combinations,recommended_preproc,recommended_algorithm,recommended_score,best_preproc,best_algorithm,best_score,delta_score,rank,percentile_rank,is_top_1,is_top_3,is_top_5,best_top3_preproc,best_top3_algorithm,best_top3_score,best_top3_delta,best_top3_rank,best_top3_percentile,best_top3_is_top_1,best_top3_is_top_3,best_top3_is_top_5,recommendation_time_s,delta_multiclass_precision_macro,delta_multiclass_recall_macro,delta_multiclass_f1_weighted,best_multiclass_precision_macro,rec_multiclass_precision_macro,best_multiclass_recall_macro,rec_multiclass_recall_macro,best_multiclass_f1_weighted,rec_multiclass_f1_weighted
waveform.csv,56,ADASYN,GradientBoostingClassifier,0.792,SMOTETomek,RandomForestClassifier,0.807,-0.015,12.0,77.78,False,False,False,SMOTE,GradientBoostingClassifier,0.794,-0.013,11.0,79.63,False,False,False,0.0336,-0.035,0.007,-0.014,0.829,0.794,0.801,0.808,0.859,0.845
vowel.csv,56,RandomOverSampler,GradientBoostingClassifier,0.724,ADASYN,RandomForestClassifier,0.812,-0.088,16.0,71.43,False,False,False,RandomOverSampler,BalancedRandomForestClassifier,0.793,-0.019,6.0,89.29,False,False,False,0.0306,-0.093,-0.093,-0.077,0.815,0.722,0.793,0.7,0.825,0.748
vehicle.csv,56,SMOTE,RandomForestClassifier,0.745,ADASYN,BalancedRandomForestClassifier,0.757,-0.012,13.0,75.93,False,False,False,SMOTE,GradientBoostingClassifier,0.748,-0.009,9.0,83.33,False,False,False,0.0302,-0.011,-0.013,-0.009,0.736,0.725,0.722,0.709,0.826,0.817
texture.csv,48,SMOTE,RandomForestClassifier,0.967,SMOTE,RandomForestClassifier,0.967,0.0,2.0,95.83,False,True,True,SMOTE,RandomForestClassifier,0.967,0.0,2.0,95.83,False,True,True,0.0293,0.0,0.0,0.0,0.969,0.969,0.966,0.966,0.968,0.968
synthetic_control.csv,56,SMOTE,RandomForestClassifier,0.952,ADASYN,RandomForestClassifier,0.957,-0.005,7.0,87.5,False,False,False,SMOTE,BalancedRandomForestClassifier,0.955,-0.002,4.0,92.86,False,False,True,0.0287,-0.004,-0.006,-0.005,0.964,0.96,0.947,0.941,0.963,0.958
students_dropout_and_academic_success.csv,56,RandomOverSampler,RandomForestClassifier,0.719,SMOTE,BalancedRandomForestClassifier,0.72,-0.001,3.0,94.55,False,True,True,RandomOverSampler,BalancedRandomForestClassifier,0.72,0.0,2.0,96.36,False,True,True,0.0289,-0.005,0.002,-0.001,0.756,0.751,0.676,0.678,0.802,0.801
splice.csv,56,RandomOverSampler,RandomForestClassifier,0.93,TomekLinks,GradientBoostingClassifier,0.943,-0.013,8.0,85.71,False,False,False,RandomOverSampler,BalancedRandomForestClassifier,0.932,-0.011,6.0,89.29,False,False,False,0.0296,0.006,-0.032,-0.009,0.939,0.945,0.951,0.919,0.96,0.951
segment.csv,48,SMOTETomek,GradientBoostingClassifier,0.974,SMOTE,RandomForestClassifier,0.976,-0.002,7.0,85.42,False,False,False,SMOTE,RandomForestClassifier,0.976,0.0,3.0,93.75,False,True,True,0.029,-0.001,-0.002,-0.002,0.975,0.974,0.973,0.971,0.981,0.979
satimage.csv,56,RandomOverSampler,GradientBoostingClassifier,0.885,ADASYN,BalancedRandomForestClassifier,0.902,-0.017,17.0,69.64,False,False,False,RandomOverSampler,BalancedRandomForestClassifier,0.897,-0.005,8.0,85.71,False,False,False,0.0297,-0.02,-0.017,-0.014,0.895,0.875,0.893,0.876,0.923,0.909
optdigits.csv,48,SMOTE,RandomForestClassifier,0.973,SMOTETomek,RandomForestClassifier,0.973,0.0,3.0,93.75,False,True,True,SMOTE,RandomForestClassifier,0.973,0.0,3.0,93.75,False,True,True,0.0288,0.0,0.0,0.0,0.974,0.974,0.97,0.97,0.975,0.975
