dataset,num_combinations,recommended_preproc,recommended_algorithm,recommended_score,best_preproc,best_algorithm,best_score,delta_score,rank,percentile_rank,is_top_1,is_top_3,is_top_5,best_top3_preproc,best_top3_algorithm,best_top3_score,best_top3_delta,best_top3_rank,best_top3_percentile,best_top3_is_top_1,best_top3_is_top_3,best_top3_is_top_5,recommendation_time_s,delta_multiclass_precision_macro,delta_multiclass_recall_macro,delta_multiclass_f1_weighted,best_multiclass_precision_macro,rec_multiclass_precision_macro,best_multiclass_recall_macro,rec_multiclass_recall_macro,best_multiclass_f1_weighted,rec_multiclass_f1_weighted
waveform.csv,56,RandomOverSampler,GradientBoostingClassifier,0.803,SMOTETomek,RandomForestClassifier,0.807,-0.004,5.0,90.74,False,False,True,RandomOverSampler,GradientBoostingClassifier,0.803,-0.004,5.0,90.74,False,False,True,0.1799,-0.002,-0.004,-0.004,0.829,0.827,0.801,0.797,0.859,0.855
vowel.csv,56,RandomOverSampler,RandomForestClassifier,0.789,ADASYN,RandomForestClassifier,0.812,-0.023,8.0,85.71,False,False,False,RandomOverSampler,RandomForestClassifier,0.789,-0.023,8.0,85.71,False,False,False,0.1843,-0.025,-0.026,-0.02,0.815,0.79,0.793,0.767,0.825,0.805
vehicle.csv,56,SMOTE,GradientBoostingClassifier,0.748,ADASYN,BalancedRandomForestClassifier,0.757,-0.009,9.0,83.33,False,False,False,ADASYN,GradientBoostingClassifier,0.756,-0.001,2.0,96.3,False,True,True,0.1814,-0.011,-0.008,-0.006,0.736,0.725,0.722,0.714,0.826,0.82
texture.csv,48,ADASYN,RandomForestClassifier,,SMOTE,RandomForestClassifier,0.967,,,,False,False,False,SMOTETomek,BalancedRandomForestClassifier,0.965,-0.002,4.0,91.67,False,False,True,0.1726,,,,0.969,,0.966,,0.968,
synthetic_control.csv,56,ADASYN,RandomForestClassifier,0.957,ADASYN,RandomForestClassifier,0.957,0.0,1.0,98.21,True,True,True,ADASYN,RandomForestClassifier,0.957,0.0,1.0,98.21,True,True,True,0.1593,0.0,0.0,0.0,0.964,0.964,0.947,0.947,0.963,0.963
students_dropout_and_academic_success.csv,56,TomekLinks,GradientBoostingClassifier,0.717,SMOTE,BalancedRandomForestClassifier,0.72,-0.003,5.0,90.91,False,False,True,RandomOverSampler,RandomForestClassifier,0.719,-0.001,3.0,94.55,False,True,True,0.1642,-0.005,-0.004,-0.003,0.756,0.751,0.676,0.672,0.802,0.799
splice.csv,56,SMOTETomek,RandomForestClassifier,0.923,TomekLinks,GradientBoostingClassifier,0.943,-0.02,12.0,78.57,False,False,False,SMOTETomek,RandomForestClassifier,0.923,-0.02,12.0,78.57,False,False,False,0.1639,0.005,-0.045,-0.015,0.939,0.944,0.951,0.906,0.96,0.945
segment.csv,48,ADASYN,RandomForestClassifier,,SMOTE,RandomForestClassifier,0.976,,,,False,False,False,SMOTE,RandomForestClassifier,0.976,0.0,3.0,93.75,False,True,True,0.1706,,,,0.975,,0.973,,0.981,
satimage.csv,56,SMOTE,GradientBoostingClassifier,0.888,ADASYN,BalancedRandomForestClassifier,0.902,-0.014,13.0,76.79,False,False,False,ADASYN,BalancedRandomForestClassifier,0.902,0.0,1.0,98.21,True,True,True,0.1825,-0.017,-0.015,-0.011,0.895,0.878,0.893,0.878,0.923,0.912
optdigits.csv,48,RandomOverSampler,RandomForestClassifier,0.972,SMOTETomek,RandomForestClassifier,0.973,-0.001,6.0,87.5,False,False,False,RandomOverSampler,RandomForestClassifier,0.972,-0.001,6.0,87.5,False,False,False,0.1761,0.001,0.0,-0.001,0.974,0.975,0.97,0.97,0.975,0.974
mfeat-morphological.csv,56,SMOTE,GradientBoostingClassifier,0.711,TomekLinks,BalancedRandomForestClassifier,0.737,-0.026,19.0,65.45,False,False,False,ADASYN,GradientBoostingClassifier,0.718,-0.019,11.0,80.0,False,False,False,0.1795,-0.032,-0.026,-0.022,0.728,0.696,0.71,0.684,0.769,0.747
maternal_health_risk.csv,56,SMOTE,GradientBoostingClassifier,0.744,ADASYN,BalancedRandomForestClassifier,0.784,-0.04,19.0,65.45,False,False,False,ADASYN,BalancedRandomForestClassifier,0.784,0.0,1.0,98.18,True,True,True,0.1986,-0.043,-0.04,-0.028,0.792,0.749,0.781,0.741,0.845,0.817
led7.csv,56,RandomOverSampler,GradientBoostingClassifier,0.725,SMOTETomek,GradientBoostingClassifier,0.728,-0.003,15.0,73.21,False,False,False,SMOTE,GradientBoostingClassifier,0.726,-0.002,9.0,83.93,False,False,False,0.2025,-0.006,0.002,-0.004,0.729,0.723,0.737,0.739,0.742,0.738
jungle_chess_2pcs_endgame_lion_elephant.csv,56,SMOTETomek,RandomForestClassifier,0.994,RandomOverSampler,GradientBoostingClassifier,0.997,-0.003,14.0,74.07,False,False,False,SMOTETomek,RandomForestClassifier,0.994,-0.003,14.0,74.07,False,False,False,0.1799,-0.004,-0.003,-0.002,0.997,0.993,0.997,0.994,0.998,0.996
hepatitis_c_virus_hcv_for_egyptian_patients.csv,56,SMOTETomek,GradientBoostingClassifier,0.334,ADASYN,GradientBoostingClassifier,0.337,-0.003,4.0,92.59,False,False,True,SMOTETomek,GradientBoostingClassifier,0.334,-0.003,4.0,92.59,False,False,True,0.1789,-0.009,0.002,0.0,0.236,0.227,0.238,0.24,0.408,0.408
eucalyptus.csv,56,SMOTETomek,RUSBoostClassifier,0.494,ADASYN,BalancedRandomForestClassifier,0.578,-0.084,30.0,44.44,False,False,False,SMOTETomek,EasyEnsembleClassifier,0.515,-0.063,20.0,62.96,False,False,False,0.1941,-0.077,-0.057,-0.091,0.61,0.533,0.536,0.479,0.638,0.547
cmc.csv,56,SMOTETomek,GradientBoostingClassifier,0.498,SMOTE,GradientBoostingClassifier,0.506,-0.008,12.0,77.78,False,False,False,SMOTE,GradientBoostingClassifier,0.506,0.0,1.0,98.15,True,True,True,0.1901,-0.012,-0.008,-0.007,0.477,0.465,0.468,0.46,0.63,0.623
autoUniv-au6-1000.csv,56,SMOTE,BaggingClassifier,0.167,RandomOverSampler,GradientBoostingClassifier,0.208,-0.041,33.0,38.89,False,False,False,ADASYN,BalancedRandomForestClassifier,0.196,-0.012,4.0,92.59,False,False,True,0.1693,-0.038,-0.03,-0.065,0.188,0.15,0.187,0.157,0.263,0.198
abalone.csv,56,ADASYN,BalancedRandomForestClassifier,0.612,SMOTETomek,BalancedRandomForestClassifier,0.632,-0.02,20.0,63.64,False,False,False,SMOTETomek,GradientBoostingClassifier,0.63,-0.002,6.0,89.09,False,False,False,0.1915,-0.031,-0.014,-0.017,0.623,0.592,0.636,0.622,0.728,0.711
Student_Performance_on_an_Entrance_Examination.csv,56,ADASYN,EasyEnsembleClassifier,0.449,SMOTETomek,GradientBoostingClassifier,0.51,-0.061,24.0,55.56,False,False,False,TomekLinks,GradientBoostingClassifier,0.484,-0.026,8.0,85.19,False,False,False,0.1808,-0.082,-0.044,-0.065,0.54,0.458,0.486,0.442,0.587,0.522
Multiclass_Classification_for_Corporate_Credit_Ratings.csv,56,SMOTE,GradientBoostingClassifier,0.707,RandomOverSampler,RandomForestClassifier,0.74,-0.033,7.0,87.04,False,False,False,RandomOverSampler,GradientBoostingClassifier,0.739,-0.001,3.0,94.44,False,True,True,0.1731,-0.05,-0.004,-0.036,0.763,0.713,0.734,0.73,0.749,0.713
